sim_GRNdb_Adult-Rectum_mixed_exp;sim_GRNdb_Adult-Rectum_mixed_exp;sim_GRNdb_Adult-Rectum_mixed_exp;sim_GRNdb_Adult-Rectum_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.249020296422826;0.834034694748431;0.5415274955
BC3NET;0.250727159559326;0.811957256281328;0.5313422079
C3NET;0.195519859165195;0.763197478748162;0.4793586689
CLR;0.245474751006519;0.916890278101972;0.5811825145
KBOOST;0.0013935219398549;0.68532509888834;0.3433593104
LEAP;0.0108941334996516;0.568422672868756;0.2896584031
MRNETB;0.0482602550595186;0.920285014547928;0.4842726348
MRNET;0.125415393217687;0.922763150573405;0.5240892718
NARROMI;0.0413846146329397;0.522232398633738;0.2818085066
PCIT;0.0008077639262962;0.5;0.2504038819
PIDC;0.0365361175728125;0.871503413665122;0.4540197656
PUC;0.037986134711091;0.872636850152863;0.4553114924
RSNET;0.0618434642496302;0.916973857041259;0.4894086606
BEST_GENECI;0.212175042568617;0.92088521530043;0.5665301289345235
MEDIAN_GENECI;0.15200428921988;0.921273792829046;0.536639041024463
MEAN;0.15031825837477;0.894129120667867;0.5222236895213185
MEDIAN;0.133432454249466;0.911610755868074;0.52252160505877
