sim_GRNdb_Adult-Rectum_mixed_exp;sim_GRNdb_Adult-Rectum_mixed_exp;sim_GRNdb_Adult-Rectum_mixed_exp;sim_GRNdb_Adult-Rectum_mixed_exp;sim_GRNdb_Adult-Rectum_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.249020296422826;0.834034694748431;0.5415274955;0 days 00:00:40.635526769
BC3NET;0.250727159559326;0.811957256281328;0.5313422079;0 days 02:31:01.103372244
C3NET;0.195519859165195;0.763197478748162;0.4793586689;0 days 00:01:55.278628460
CLR;0.245474751006519;0.916890278101972;0.5811825145;0 days 00:00:34.781050868
KBOOST;0.00139352193985492;0.68532509888834;0.3433593104;0 days 03:09:30.283792053
LEAP;0.0108941334996516;0.568422672868756;0.2896584031;0 days 00:21:00.214782611
MRNETB;0.0482602550595186;0.920285014547928;0.4842726348;0 days 00:01:06.394320384
MRNET;0.125415393217687;0.922763150573405;0.5240892718;0 days 00:00:45.940512123
NARROMI;0.0413846146329397;0.522232398633738;0.2818085066;0 days 00:11:30.089106803
PCIT;0.000807763926296238;0.5;0.2504038819;0 days 00:05:38.538657835
PIDC;0.0365361175728125;0.871503413665122;0.4540197656;0 days 00:43:44.481027357
PUC;0.037986134711091;0.872636850152863;0.4553114924;0 days 00:42:37.953822926
RSNET;0.0618434642496302;0.916973857041259;0.4894086606;0 days 00:06:52.197319514
