sim_GRNdb_Fetal-Brain_mixed_exp;sim_GRNdb_Fetal-Brain_mixed_exp;sim_GRNdb_Fetal-Brain_mixed_exp;sim_GRNdb_Fetal-Brain_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.243246436264785;0.782808059670567;0.5130272479
BC3NET;0.284236164392024;0.822937600006649;0.5535868821
C3NET;0.212808739459527;0.735129649414927;0.4739691944
CLR;0.241454588963869;0.877718506883442;0.5595865479
KBOOST;0.0086957515319764;0.570051378496886;0.289373565
LEAP;0.0546490640443678;0.581419282929841;0.3180341734
MRNETB;0.202945610592782;0.885555326064999;0.5442504683
MRNET;0.243022579962929;0.884297000067336;0.56365979
NARROMI;0.0435306311586468;0.519201512635533;0.2813660718
PCIT;0.0040303738317757;0.5;0.2520151869
PIDC;0.0715780936263353;0.780223410473326;0.425900752
PUC;0.0742112070752036;0.783144362498372;0.4286777847
RSNET;0.242622630083948;0.883001889472248;0.5628122597
BEST_GENECI;0.276117005963479;0.875224520622088;0.5756707632927835
MEDIAN_GENECI;0.255278239488012;0.86675528024244;0.561016759865226
MEAN;0.216921480694555;0.837212195940359;0.527066838317457
MEDIAN;0.235761828295362;0.874000901529569;0.5548813649124655
