sim_GRNdb_Fetal-Brain_mixed_exp;sim_GRNdb_Fetal-Brain_mixed_exp;sim_GRNdb_Fetal-Brain_mixed_exp;sim_GRNdb_Fetal-Brain_mixed_exp;sim_GRNdb_Fetal-Brain_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.243246436264785;0.782808059670567;0.5130272479;0 days 00:00:00.768098115
BC3NET;0.284236164392024;0.822937600006649;0.5535868821;0 days 00:01:37.655547832
C3NET;0.212808739459527;0.735129649414927;0.4739691944;0 days 00:00:04.818016327
CLR;0.241454588963869;0.877718506883442;0.5595865479;0 days 00:00:00.811144692
KBOOST;0.0086957515319764;0.570051378496886;0.2893735650;0 days 00:00:42.861076614
LEAP;0.0546490640443678;0.581419282929841;0.3180341734;0 days 00:00:17.004655161
MRNETB;0.202945610592782;0.885555326064999;0.5442504683;0 days 00:00:01.046297643
MRNET;0.243022579962929;0.884297000067336;0.5636597900;0 days 00:00:00.864920337
NARROMI;0.0435306311586468;0.519201512635533;0.2813660718;0 days 00:00:14.405946251
PCIT;0.0040303738317757;0.5;0.2520151869;0 days 00:00:10.559253190
PIDC;0.0715780936263353;0.780223410473326;0.4259007520;0 days 00:00:19.256516790
PUC;0.0742112070752036;0.783144362498372;0.4286777847;0 days 00:00:18.505434306
RSNET;0.242622630083948;0.883001889472248;0.5628122597;0 days 00:00:14.136200475
