sim_GRNdb_Fetal-Calvaria_mixed_exp;sim_GRNdb_Fetal-Calvaria_mixed_exp;sim_GRNdb_Fetal-Calvaria_mixed_exp;sim_GRNdb_Fetal-Calvaria_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.326057641256358;0.903816285685345;0.6149369634
BC3NET;0.342353727382507;0.891381344188177;0.6168675357
C3NET;0.291825383147013;0.850615759215289;0.5712205711
CLR;0.304820239462923;0.954551630705885;0.629685935
KBOOST;0.001471263219819;0.724699515126011;0.3630853891
LEAP;0.0103520302957449;0.535624956921015;0.2729884936
MRNETB;0.110223990432998;0.954486110943159;0.5323550506
MRNET;0.20455353066256;0.955808105671482;0.5801808181
NARROMI;0.0394609707040637;0.519478031016789;0.2794695008
PCIT;0.0006349064371526;0.5;0.2503174532
PIDC;0.0512128196048541;0.905582047361858;0.4783974334
PUC;0.0531966587298504;0.913686495519566;0.4834415771
RSNET;0.142516409426042;0.944764917079619;0.5436406632
BEST_GENECI;0.306983378881994;0.94774804853265;0.6273657137073221
MEDIAN_GENECI;0.254328941515843;0.946131908960768;0.6002304252383055
MEAN;0.224802633471015;0.937122742054291;0.580962687762653
MEDIAN;0.225084762464389;0.948504729870274;0.5867947461673315
