sim_GRNdb_Fetal-Calvaria_mixed_exp;sim_GRNdb_Fetal-Calvaria_mixed_exp;sim_GRNdb_Fetal-Calvaria_mixed_exp;sim_GRNdb_Fetal-Calvaria_mixed_exp;sim_GRNdb_Fetal-Calvaria_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.326057641256358;0.903816285685345;0.6149369634;0 days 00:00:40.784083214
BC3NET;0.342353727382507;0.891381344188177;0.6168675357;0 days 02:25:51.680387966
C3NET;0.291825383147013;0.850615759215289;0.5712205711;0 days 00:01:54.857790097
CLR;0.304820239462923;0.954551630705885;0.6296859350;0 days 00:00:34.311113768
KBOOST;0.00147126321981907;0.724699515126011;0.3630853891;0 days 03:04:16.416577616
LEAP;0.0103520302957449;0.535624956921015;0.2729884936;0 days 00:19:45.487240343
MRNETB;0.110223990432998;0.954486110943159;0.5323550506;0 days 00:01:04.531621453
MRNET;0.20455353066256;0.955808105671482;0.5801808181;0 days 00:00:46.649436208
NARROMI;0.0394609707040637;0.519478031016789;0.2794695008;0 days 00:08:01.445812725
PCIT;0.000634906437152648;0.5;0.2503174532;0 days 00:05:11.396948756
PIDC;0.0512128196048541;0.905582047361858;0.4783974334;0 days 00:42:40.680876971
PUC;0.0531966587298504;0.913686495519566;0.4834415771;0 days 00:41:39.742167163
RSNET;0.142516409426042;0.944764917079619;0.5436406632;0 days 00:06:20.226320847
