sim_GRNdb_Fetal-Thymus_mixed_exp;sim_GRNdb_Fetal-Thymus_mixed_exp;sim_GRNdb_Fetal-Thymus_mixed_exp;sim_GRNdb_Fetal-Thymus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.226369090925492;0.817232745172394;0.521800918
BC3NET;0.242964118307145;0.830942807744316;0.536953463
C3NET;0.194395912304827;0.769827558955243;0.4821117356
CLR;0.21291163283392;0.888869133261986;0.550890383
KBOOST;0.002042083494323;0.612735914868362;0.3073889991
LEAP;0.0046632447213854;0.520349740399694;0.2625064925
MRNETB;0.142121568520959;0.889109113847109;0.5156153411
MRNET;0.182810059660476;0.889936527378785;0.5363732935
NARROMI;0.0069999110871099;0.502717575583637;0.2548587433
PCIT;0.001446194799261;0.5;0.2507230973
PIDC;0.0219459386097908;0.818461193922239;0.4202035662
PUC;0.0358616883262944;0.829289303309619;0.4325754958
RSNET;0.168329548709063;0.891020241202869;0.5296748949
BEST_GENECI;0.21793613682249;0.895363589742714;0.556649863282602
MEDIAN_GENECI;0.16573067228747;0.889616473105974;0.527673572696722
MEAN;0.160619559321709;0.873982390281613;0.5173009748016609
MEDIAN;0.184829748059834;0.875313588695543;0.5300716683776885
