sim_GRNdb_Fetal-Thymus_mixed_exp;sim_GRNdb_Fetal-Thymus_mixed_exp;sim_GRNdb_Fetal-Thymus_mixed_exp;sim_GRNdb_Fetal-Thymus_mixed_exp;sim_GRNdb_Fetal-Thymus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.226369090925492;0.817232745172394;0.5218009180;0 days 00:00:04.722875037
BC3NET;0.242964118307145;0.830942807744316;0.5369534630;0 days 00:12:11.082918866
C3NET;0.194395912304827;0.769827558955243;0.4821117356;0 days 00:00:20.202463853
CLR;0.21291163283392;0.888869133261986;0.5508903830;0 days 00:00:04.544788766
KBOOST;0.00204208349432304;0.612735914868362;0.3073889991;0 days 00:11:11.814020772
LEAP;0.00466324472138542;0.520349740399694;0.2625064925;0 days 00:02:01.371364812
MRNETB;0.142121568520959;0.889109113847109;0.5156153411;0 days 00:00:07.003454240
MRNET;0.182810059660476;0.889936527378785;0.5363732935;0 days 00:00:04.937073849
NARROMI;0.00699991108710991;0.502717575583637;0.2548587433;0 days 00:00:42.866158118
PCIT;0.00144619479926101;0.5;0.2507230973;0 days 00:00:29.274390385
PIDC;0.0219459386097908;0.818461193922239;0.4202035662;0 days 00:03:04.185610678
PUC;0.0358616883262944;0.829289303309619;0.4325754958;0 days 00:02:59.098815693
RSNET;0.168329548709063;0.891020241202869;0.5296748949;0 days 00:00:40.627135070
