sim_RegNetwork_human_mixed_exp;sim_RegNetwork_human_mixed_exp;sim_RegNetwork_human_mixed_exp;sim_RegNetwork_human_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0370591697564518;0.571028722858692;0.3040439463
BC3NET;0.0054452847456136;0.504394315518176;0.2549198001
C3NET;0.0311646099574532;0.554501162331775;0.2928328861
CLR;0.10647067973739;0.86024624556734;0.4833584626
KBOOST;0.0155903406015691;0.651691119114673;0.3336407298
LEAP;0.034221801050793;0.6359697306638;0.3350957658
MRNETB;0.0749056361540025;0.846520951898973;0.460713294
MRNET;0.0828710200563957;0.832914383244753;0.4578927016
NARROMI;0.0702788869482283;0.556215501252172;0.3132471941
PCIT;0.0039161683580213;0.5;0.2519580841
PIDC;0.0727121916155941;0.855805284282508;0.4642587379
PUC;0.0646250893634595;0.86347436814766;0.4640497287
RSNET;0.0452049787384225;0.645038129441332;0.345121554
BEST_GENECI;0.107709011049179;0.88160311732013;0.4946560641846544
MEDIAN_GENECI;0.0716942347161214;0.87976625469367;0.4757302447048956
MEAN;0.0790249429738606;0.871288821025746;0.4751568819998033
MEDIAN;0.0608175528895859;0.668194465446605;0.36450600916809545
