sim_RegNetwork_mouse_mixed_exp;sim_RegNetwork_mouse_mixed_exp;sim_RegNetwork_mouse_mixed_exp;sim_RegNetwork_mouse_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0345410738684595;0.569911213989685;0.3022261439
BC3NET;0.0042983220382441;0.502349036575786;0.2533236793
C3NET;0.0286645314383451;0.552957991320409;0.2908112613
CLR;0.101175466679001;0.860647818285096;0.4809116424
KBOOST;0.0133802230908428;0.665791428076623;0.3395858255
LEAP;0.0310633138045383;0.637956441104251;0.3345098774
MRNETB;0.0701255517638966;0.851883605388749;0.4610045785
MRNET;0.0809247788009942;0.840551314626349;0.4607380467
NARROMI;0.0525413501701526;0.546966190634171;0.2997537704
PCIT;0.0035276869121692;0.5;0.2517638434
PIDC;0.068616171617238;0.857010375724371;0.4628132736
PUC;0.0609455907836587;0.86496185567413;0.4629537232
RSNET;0.0778963729918535;0.877229293478484;0.4775628332
BEST_GENECI;0.102553595806526;0.881141021009935;0.4918473084082305
MEDIAN_GENECI;0.0630810195683783;0.880532277810752;0.4718066486895652
MEAN;0.0733626154843578;0.872269426610761;0.4728160210475594
MEDIAN;0.0808844561228864;0.851869754697892;0.4663771054103892
