sim_RegNetwork_mouse_mixed_exp;sim_RegNetwork_mouse_mixed_exp;sim_RegNetwork_mouse_mixed_exp;sim_RegNetwork_mouse_mixed_exp;sim_RegNetwork_mouse_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0345410738684595;0.569911213989685;0.3022261439;0 days 00:00:13.857767353
BC3NET;0.00429832203824414;0.502349036575786;0.2533236793;0 days 00:36:50.290161851
C3NET;0.0286645314383451;0.552957991320409;0.2908112613;0 days 00:00:50.563459792
CLR;0.101175466679001;0.860647818285096;0.4809116424;0 days 00:00:12.139510958
KBOOST;0.0133802230908428;0.665791428076623;0.3395858255;0 days 00:43:01.992520647
LEAP;0.0310633138045383;0.637956441104251;0.3345098774;0 days 00:05:27.829848765
MRNETB;0.0701255517638966;0.851883605388749;0.4610045785;0 days 00:00:21.810539918
MRNET;0.0809247788009942;0.840551314626349;0.4607380467;0 days 00:00:13.887555089
NARROMI;0.0525413501701526;0.546966190634171;0.2997537704;0 days 00:14:46.194066276
PCIT;0.00352768691216921;0.5;0.2517638434;0 days 00:01:20.071413278
PIDC;0.068616171617238;0.857010375724371;0.4628132736;0 days 00:09:44.148377002
PUC;0.0609455907836587;0.86496185567413;0.4629537232;0 days 00:09:13.339727508
RSNET;0.0778963729918535;0.877229293478484;0.4775628332;0 days 00:05:03.403834309
