sim_RegulonDB_Escherichia_coli_mixed_exp;sim_RegulonDB_Escherichia_coli_mixed_exp;sim_RegulonDB_Escherichia_coli_mixed_exp;sim_RegulonDB_Escherichia_coli_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0153699672791159;0.573946673291846;0.2946583202
BC3NET;0.0393438953168599;0.597533904368699;0.3184388998
C3NET;0.0131324117660472;0.56210477897673;0.2876185953
CLR;0.095969410514704;0.963511510539908;0.5297404605
KBOOST;0.006422757242;0.607206737760184;0.3068147475
LEAP;0.0140380827429341;0.82283431509487;0.4184361989
MRNETB;0.0197813492736425;0.959085544058041;0.4894334466
MRNET;0.0264211919404776;0.960860258997071;0.4936407254
NARROMI;0.0340644933779215;0.614412942511485;0.3242387179
PCIT;0.0008239551851696;0.5;0.2504119775
RSNET;0.0299750991446395;0.96636776898424;0.498171434
BEST_GENECI;0.035253106409015;0.975148131244454;0.5052006188267345
MEDIAN_GENECI;0.0206606146499877;0.968120522862064;0.4943905687560258
MEAN;0.0447612680457262;0.970770697629126;0.5077659828374261
MEDIAN;0.0402251518013417;0.847887341741377;0.44405624677135935
