sim_RegulonDB_Escherichia_coli_mixed_exp;sim_RegulonDB_Escherichia_coli_mixed_exp;sim_RegulonDB_Escherichia_coli_mixed_exp;sim_RegulonDB_Escherichia_coli_mixed_exp;sim_RegulonDB_Escherichia_coli_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0153699672791159;0.573946673291846;0.2946583202;0 days 00:01:40.313666719
BC3NET;0.0393438953168599;0.597533904368699;0.3184388998;0 days 07:25:38.550945960
C3NET;0.0131324117660472;0.56210477897673;0.2876185953;0 days 00:04:06.742789616
CLR;0.095969410514704;0.963511510539908;0.5297404605;0 days 00:01:21.090951262
KBOOST;0.00642275724200009;0.607206737760184;0.3068147475;0 days 10:24:50.953845425
LEAP;0.0140380827429341;0.82283431509487;0.4184361989;0 days 00:56:30.486678693
MRNETB;0.0197813492736425;0.959085544058041;0.4894334466;0 days 00:03:04.338518790
MRNET;0.0264211919404776;0.960860258997071;0.4936407254;0 days 00:01:43.920800986
NARROMI;0.0340644933779215;0.614412942511485;0.3242387179;0 days 23:05:26.052029824
PCIT;0.000823955185169608;0.5;0.2504119775;0 days 00:20:42.943517359
RSNET;0.0299750991446395;0.96636776898424;0.4981714340;0 days 10:15:18.834316601
