sim_TFLink_Caenorhabditis_elegans_mixed_exp;sim_TFLink_Caenorhabditis_elegans_mixed_exp;sim_TFLink_Caenorhabditis_elegans_mixed_exp;sim_TFLink_Caenorhabditis_elegans_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0277968076493119;0.604989070335605;0.3163929389
BC3NET;0.0289333832187034;0.618152886717243;0.3235431349
C3NET;0.0280779961024339;0.603695190947666;0.3158865935
CLR;0.0291976166704456;0.604571171402855;0.316884394
CMI2NI;0.0404407254890608;0.747034524881059;0.3937376251
GENIE3_ET;0.0222110251751734;0.701829111482577;0.3620200683
GENIE3_RF;0.0236308622045336;0.70469011186833;0.364160487
GRNBOOST2;0.0208367280816482;0.680411791179118;0.3506242596
GRNVBEM;0.009142347341001;0.513372765848013;0.2612575565
INFERELATOR;0.0206064473819143;0.662016201620162;0.3413113245
KBOOST;0.0219582315327385;0.623360550340748;0.3226593909
LEAP;0.0157445543153935;0.586344348720586;0.3010444515
LOCPCACMI;0.0401641614083314;0.752989584672753;0.396576873
MEOMI;0.0073714173678274;0.493233251896618;0.2503023346
MRNETB;0.0244588388178732;0.57746399639964;0.3009614176
MRNET;0.0273486462403771;0.591407355021216;0.3093780006
NARROMI;0.00764662575175;0.499115983026874;0.2533813043
NONLINEARODES;0.0125908465095752;0.597274013115597;0.3049324298
PCACMI;0.0414436822335955;0.74713096309631;0.3942873226
PCIT;0.007719298245614;0.5;0.2538596491
PIDC;0.0112186490079843;0.596815931593159;0.3040172903
PLSNET;0.0140863118163272;0.594670181303845;0.3043782465
PUC;0.0111684263379973;0.599178667866787;0.3051735471
RSNET;0.0380576103894054;0.74738813167031;0.392722871
TIGRESS;0.0512504503782618;0.740299922849428;0.3957751866
BEST_GENECI;0.0347940224755911;0.721309630963096;0.3780518267193435
MEDIAN_GENECI;0.0297566072935831;0.690513694226565;0.360135150760074
MEAN;0.0413798343483048;0.747572971582873;0.3944764029655889
MEDIAN;0.0360494900063527;0.71723511636878;0.37664230318756636
