sim_TFLink_Caenorhabditis_elegans_mixed_exp;sim_TFLink_Caenorhabditis_elegans_mixed_exp;sim_TFLink_Caenorhabditis_elegans_mixed_exp;sim_TFLink_Caenorhabditis_elegans_mixed_exp;sim_TFLink_Caenorhabditis_elegans_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0277968076493119;0.604989070335605;0.3163929389;0 days 00:00:00.296978125
BC3NET;0.0289333832187034;0.618152886717243;0.3235431349;0 days 00:00:09.804381104
C3NET;0.0280779961024339;0.603695190947666;0.3158865935;0 days 00:00:00.566731141
CLR;0.0291976166704456;0.604571171402855;0.3168843940;0 days 00:00:00.294632382
CMI2NI;0.0404407254890608;0.747034524881059;0.3937376251;0 days 00:00:05.073530219
GENIE3_ET;0.0222110251751734;0.701829111482577;0.3620200683;0 days 00:00:50.061010845
GENIE3_RF;0.0236308622045336;0.70469011186833;0.3641604870;0 days 00:01:13.671587710
GRNBOOST2;0.0208367280816482;0.680411791179118;0.3506242596;0 days 00:00:05.365205573
GRNVBEM;0.00914234734100107;0.513372765848013;0.2612575565;0 days 00:03:24.605624680
INFERELATOR;0.0206064473819143;0.662016201620162;0.3413113245;0 days 00:09:11.939668895
KBOOST;0.0219582315327385;0.623360550340748;0.3226593909;0 days 00:00:00.905630977
LEAP;0.0157445543153935;0.586344348720586;0.3010444515;0 days 00:00:01.007097034
LOCPCACMI;0.0401641614083314;0.752989584672753;0.3965768730;0 days 00:00:07.913456801
MEOMI;0.00737141736782742;0.493233251896618;0.2503023346;0 days 00:01:39.308152297
MRNETB;0.0244588388178732;0.57746399639964;0.3009614176;0 days 00:00:00.601105900
MRNET;0.0273486462403771;0.591407355021216;0.3093780006;0 days 00:00:00.305209720
NARROMI;0.00764662575175007;0.499115983026874;0.2533813043;0 days 00:00:08.437295667
NONLINEARODES;0.0125908465095752;0.597274013115597;0.3049324298;0 days 00:00:20.932554426
PCACMI;0.0414436822335955;0.74713096309631;0.3942873226;0 days 00:00:05.498565207
PCIT;0.00771929824561404;0.5;0.2538596491;0 days 00:00:13.536008113
PIDC;0.0112186490079843;0.596815931593159;0.3040172903;0 days 00:00:11.777695962
PLSNET;0.0140863118163272;0.594670181303845;0.3043782465;0 days 00:00:47.421197652
PUC;0.0111684263379973;0.599178667866787;0.3051735471;0 days 00:00:13.786022203
RSNET;0.0380576103894054;0.74738813167031;0.3927228710;0 days 00:00:09.961572104
TIGRESS;0.0512504503782618;0.740299922849428;0.3957751866;0 days 00:01:17.101687235
