sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.180402469225372;0.70964163443155;0.4450220518
BC3NET;0.0731044761058899;0.572575696945445;0.3228400865
C3NET;0.153179454691107;0.648038659908408;0.4006090572
CLR;0.197272251181844;0.787187097061047;0.4922296741
GENIE3_ET;0.115468274479803;0.733371126228269;0.4244197003
GENIE3_RF;0.141535214670282;0.720708561202259;0.4311218879
GRNBOOST2;0.116581472265633;0.727961740251656;0.4222716062
INFERELATOR;0.163768007431097;0.721963785514206;0.4428658964
KBOOST;0.0626454826985554;0.550659708327776;0.3066525955
LEAP;0.104635443451335;0.624002378729269;0.364318911
MEOMI;0.0284391301378743;0.55943099462007;0.2939350623
MRNETB;0.208115249311694;0.794175447956961;0.5011453486
MRNET;0.216784472276994;0.792886043306211;0.5048352577
NARROMI;0.0791073420665916;0.532735316348762;0.3059213292
PCACMI;0.198675889556651;0.760329131652661;0.4795025106
PCIT;0.0101750710758641;0.5;0.2550875355
PIDC;0.0823083787791928;0.689418267306923;0.385863323
PLSNET;0.107761272293209;0.644235194077631;0.3759982331
PUC;0.0867380256211286;0.692547296696456;0.3896426611
RSNET;0.211819084119333;0.785693999822151;0.4987565419
BEST_GENECI;0.184555060134641;0.774470343693033;0.479512701913837
MEDIAN_GENECI;0.180412294790515;0.755012560579787;0.467712427685151
MEAN;0.186433022238539;0.732784224801032;0.4596086235197855
MEDIAN;0.204534473676945;0.791823951802943;0.498179212739944
