sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp;sim_TFLink_Drosophila_melanogaster_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.180402469225372;0.70964163443155;0.4450220518;0 days 00:00:00.370838424
BC3NET;0.0731044761058899;0.572575696945445;0.3228400865;0 days 00:00:45.518656138
C3NET;0.153179454691107;0.648038659908408;0.4006090572;0 days 00:00:01.293000412
CLR;0.197272251181844;0.787187097061047;0.4922296741;0 days 00:00:00.378566120
GENIE3_ET;0.115468274479803;0.733371126228269;0.4244197003;0 days 00:02:01.821090203
GENIE3_RF;0.141535214670282;0.720708561202259;0.4311218879;0 days 00:02:56.183928055
GRNBOOST2;0.116581472265633;0.727961740251656;0.4222716062;0 days 00:00:11.649837789
INFERELATOR;0.163768007431097;0.721963785514206;0.4428658964;0 days 00:06:32.118780760
KBOOST;0.0626454826985554;0.550659708327776;0.3066525955;0 days 00:00:06.544064383
LEAP;0.104635443451335;0.624002378729269;0.3643189110;0 days 00:00:04.368945296
MEOMI;0.0284391301378743;0.55943099462007;0.2939350623;0 days 00:02:43.347787897
MRNETB;0.208115249311694;0.794175447956961;0.5011453486;0 days 00:00:00.417760430
MRNET;0.216784472276994;0.792886043306211;0.5048352577;0 days 00:00:00.383329231
NARROMI;0.0791073420665916;0.532735316348762;0.3059213292;0 days 00:00:10.396263690
PCACMI;0.198675889556651;0.760329131652661;0.4795025106;0 days 00:00:06.770898963
PCIT;0.0101750710758641;0.5;0.2550875355;0 days 00:00:09.331412196
PIDC;0.0823083787791928;0.689418267306923;0.3858633230;0 days 00:00:09.335689683
PLSNET;0.107761272293209;0.644235194077631;0.3759982331;0 days 00:02:57.284031349
PUC;0.0867380256211286;0.692547296696456;0.3896426611;0 days 00:00:08.605691228
RSNET;0.211819084119333;0.785693999822151;0.4987565419;0 days 00:00:09.974282791
