sim_TFLink_Rattus_norvegicus_mixed_exp;sim_TFLink_Rattus_norvegicus_mixed_exp;sim_TFLink_Rattus_norvegicus_mixed_exp;sim_TFLink_Rattus_norvegicus_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.797267445945918;0.993421052631579;0.8953442492
BC3NET;0.525742240010033;0.740131578947368;0.6329369094
C3NET;0.522345875358916;0.730263157894737;0.6263045166
CLR;0.599405822126432;0.960526315789474;0.7799660689
CMI2NI;0.523769525281296;0.802631578947368;0.6632005521
GENIE3_ET;0.540428619202656;0.888157894736842;0.7142932569
GENIE3_RF;0.614623300431854;0.967105263157895;0.7908642817
GRNBOOST2;0.165639082772373;0.927631578947368;0.5466353308
GRNVBEM;0.0182999220792438;0.368421052631579;0.1933604873
INFERELATOR;0.564943115051852;0.934210526315789;0.7495768206
JUMP3;0.0187362285940231;0.342105263157895;0.1804207458
KBOOST;0.0503566097781705;0.585526315789474;0.3179414627
LEAP;0.365744337268246;0.980263157894737;0.6730037475
LOCPCACMI;0.513508130945438;0.641447368421053;0.5774777496
MEOMI;0.614623300431854;0.967105263157895;0.7908642817
MRNETB;0.797267445945918;0.993421052631579;0.8953442492
MRNET;0.797267445945918;0.993421052631579;0.8953442492
NARROMI;0.523272247067174;0.733552631578947;0.6284124393
NONLINEARODES;0.0546939195632838;0.789473684210526;0.4220838018
PCACMI;0.523769525281296;0.802631578947368;0.6632005521
PCIT;0.0256410256410256;0.5;0.2628205128
PIDC;0.123886334052462;0.828947368421053;0.4764168512
PLSNET;0.51303120406766;0.631578947368421;0.5723050757
PUC;0.527220625778629;0.828947368421053;0.678083997
RSNET;0.523769525281296;0.802631578947368;0.6632005521
TIGRESS;0.548230352037002;0.907894736842105;0.7280625444
BEST_GENECI;0.665284673028685;0.980263157894737;0.822773915461711
MEDIAN_GENECI;0.571104190880538;0.940789473684211;0.7559468322823745
MEAN;0.599405822126432;0.960526315789474;0.7799660689579531
MEDIAN;0.564943115051852;0.934210526315789;0.7495768206838205
