sim_TFLink_Rattus_norvegicus_mixed_exp;sim_TFLink_Rattus_norvegicus_mixed_exp;sim_TFLink_Rattus_norvegicus_mixed_exp;sim_TFLink_Rattus_norvegicus_mixed_exp;sim_TFLink_Rattus_norvegicus_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.797267445945918;0.993421052631579;0.8953442492;0 days 00:00:00.271184578
BC3NET;0.525742240010033;0.740131578947368;0.6329369094;0 days 00:00:10.415495910
C3NET;0.522345875358916;0.730263157894737;0.6263045166;0 days 00:00:00.360747410
CLR;0.599405822126432;0.960526315789474;0.7799660689;0 days 00:00:00.270149084
CMI2NI;0.523769525281296;0.802631578947368;0.6632005521;0 days 00:00:06.003395271
GENIE3_ET;0.540428619202656;0.888157894736842;0.7142932569;0 days 00:00:08.608740918
GENIE3_RF;0.614623300431854;0.967105263157895;0.7908642817;0 days 00:00:09.857390478
GRNBOOST2;0.165639082772373;0.927631578947368;0.5466353308;0 days 00:00:03.460475273
GRNVBEM;0.0182999220792438;0.368421052631579;0.1933604873;0 days 00:00:06.399282476
INFERELATOR;0.564943115051852;0.934210526315789;0.7495768206;0 days 00:07:30.791870964
JUMP3;0.0187362285940231;0.342105263157895;0.1804207458;0 days 00:00:17.687646976
KBOOST;0.0503566097781705;0.585526315789474;0.3179414627;0 days 00:00:00.302617367
LEAP;0.365744337268246;0.980263157894737;0.6730037475;0 days 00:00:00.302706053
LOCPCACMI;0.513508130945438;0.641447368421053;0.5774777496;0 days 00:00:07.309145851
MEOMI;0.614623300431854;0.967105263157895;0.7908642817;0 days 00:00:11.117508884
MRNETB;0.797267445945918;0.993421052631579;0.8953442492;0 days 00:00:00.334386813
MRNET;0.797267445945918;0.993421052631579;0.8953442492;0 days 00:00:00.544869674
NARROMI;0.523272247067174;0.733552631578947;0.6284124393;0 days 00:00:10.405725008
NONLINEARODES;0.0546939195632838;0.789473684210526;0.4220838018;0 days 00:00:01.332571160
PCACMI;0.523769525281296;0.802631578947368;0.6632005521;0 days 00:00:06.235952947
PCIT;0.0256410256410256;0.5;0.2628205128;0 days 00:00:14.408558068
PIDC;0.123886334052462;0.828947368421053;0.4764168512;0 days 00:00:10.482304972
PLSNET;0.51303120406766;0.631578947368421;0.5723050757;0 days 00:00:08.878022123
PUC;0.527220625778629;0.828947368421053;0.6780839970;0 days 00:00:09.343855357
RSNET;0.523769525281296;0.802631578947368;0.6632005521;0 days 00:00:12.802591284
TIGRESS;0.548230352037002;0.907894736842105;0.7280625444;0 days 00:00:09.336348233
