sim_TFLink_Saccharomyces_cerevisiae_mixed_exp;sim_TFLink_Saccharomyces_cerevisiae_mixed_exp;sim_TFLink_Saccharomyces_cerevisiae_mixed_exp;sim_TFLink_Saccharomyces_cerevisiae_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.223394607634678;0.814253076315195;0.5188238419
BC3NET;0.274446490206054;0.84258290528336;0.5585146977
C3NET;0.207007134137483;0.775296483404832;0.4911518087
CLR;0.317828608561916;0.961529267328968;0.6396789379
KBOOST;0.022248465619649;0.620877737638293;0.3215631016
LEAP;0.151514997310366;0.749943765522691;0.4507293814
MRNETB;0.211823780177551;0.961138024949199;0.5864809025
MRNET;0.268612765016238;0.961686187627004;0.6151494763
NARROMI;0.182864705016729;0.58948252991646;0.3861736174
PCIT;0.0029852476596238;0.5;0.2514926238
PIDC;0.185046061446646;0.894616483687063;0.5398312725
PUC;0.150400885369909;0.889660511684353;0.5200306985
RSNET;0.251065341105755;0.949504050011289;0.6002846955
BEST_GENECI;0.321905799653567;0.95442947053511;0.6381676350943385
MEDIAN_GENECI;0.253065257416242;0.957285927974712;0.6051755926954769
MEAN;0.275965402467625;0.930455590991195;0.6032104967294101
MEDIAN;0.282944826262666;0.955555924023482;0.619250375143074
