sim_TFLink_Saccharomyces_cerevisiae_mixed_exp;sim_TFLink_Saccharomyces_cerevisiae_mixed_exp;sim_TFLink_Saccharomyces_cerevisiae_mixed_exp;sim_TFLink_Saccharomyces_cerevisiae_mixed_exp;sim_TFLink_Saccharomyces_cerevisiae_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.223394607634678;0.814253076315195;0.5188238419;0 days 00:00:01.073714176
BC3NET;0.274446490206054;0.84258290528336;0.5585146977;0 days 00:02:11.560346975
C3NET;0.207007134137483;0.775296483404832;0.4911518087;0 days 00:00:07.099092051
CLR;0.317828608561916;0.961529267328968;0.6396789379;0 days 00:00:01.121619534
KBOOST;0.022248465619649;0.620877737638293;0.3215631016;0 days 00:01:08.773015451
LEAP;0.151514997310366;0.749943765522691;0.4507293814;0 days 00:00:23.331977305
MRNETB;0.211823780177551;0.961138024949199;0.5864809025;0 days 00:00:01.510330504
MRNET;0.268612765016238;0.961686187627004;0.6151494763;0 days 00:00:01.184265942
NARROMI;0.182864705016729;0.58948252991646;0.3861736174;0 days 00:00:26.403028637
PCIT;0.0029852476596238;0.5;0.2514926238;0 days 00:00:11.514650597
PIDC;0.185046061446646;0.894616483687063;0.5398312725;0 days 00:00:27.370780764
PUC;0.150400885369909;0.889660511684353;0.5200306985;0 days 00:00:25.453226039
RSNET;0.251065341105755;0.949504050011289;0.6002846955;0 days 00:00:19.802780741
