sim_eipo-modular_size-200_knockdown_exp;sim_eipo-modular_size-200_knockdown_exp;sim_eipo-modular_size-200_knockdown_exp;sim_eipo-modular_size-200_knockdown_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.082137055364687;0.59713759825754;0.3396373268
BC3NET;0.111054257823814;0.613156713899509;0.3621054858
C3NET;0.0662122299906151;0.571545415925499;0.3188788229
CLR;0.19435110780557;0.814263359804547;0.5043072338
GENIE3_ET;0.148677781086376;0.828099043242726;0.4883884121
GENIE3_RF;0.16237281880932;0.830344969102724;0.4963588939
GRNBOOST2;0.172629977820576;0.838374373810131;0.5055021758
INFERELATOR;0.147062098833442;0.702621258638718;0.4248416787
KBOOST;0.0962257088958111;0.661935004125268;0.3790803565
LEAP;0.108918858491088;0.742815942172903;0.4258674003
MEOMI;0.0693081692147021;0.581276433614775;0.3252923014
MRNETB;0.13312004493741;0.790005107997966;0.4615625764
MRNET;0.146707329490342;0.783084519304977;0.4648959243
NARROMI;0.0728694730582606;0.598659902518137;0.3357646877
PCACMI;0.140620218913316;0.817074612893004;0.4788474159
PCIT;0.0183582089552239;0.5;0.2591791044
PIDC;0.154081068762881;0.788187160671465;0.4711341147
PLSNET;0.167271185507716;0.823353851854874;0.4953125186
PUC;0.121340680681455;0.783917264442524;0.4526289725
RSNET;0.135174847242107;0.788125285084385;0.4616500661
BEST_GENECI;0.186720374962042;0.844150367153664;0.515435371057853
MEDIAN_GENECI;0.171971514567983;0.835072236485884;0.5035218755269335
MEAN;0.169841911245656;0.812839328535194;0.491340619890425
MEDIAN;0.171701907162628;0.8201805476065;0.49594122738456403
