sim_eipo-modular_size-20_knockout_exp;sim_eipo-modular_size-20_knockout_exp;sim_eipo-modular_size-20_knockout_exp;sim_eipo-modular_size-20_knockout_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.395074202668416;0.64672582619339;0.5209000144
BC3NET;0.347994504981454;0.581548347613219;0.4647714262
C3NET;0.341358089881121;0.590575275397797;0.4659666826
CLR;0.447661543532479;0.755507955936352;0.6015847497
CMI2NI;0.483335503593894;0.789014687882497;0.6361750957
GENIE3_ET;0.55664691935378;0.836291309669523;0.6964691145
GENIE3_RF;0.500588749341876;0.79452264381885;0.6475556965
GRNBOOST2;0.251578518081033;0.590575275397797;0.4210768967
GRNVBEM;0.165281899235414;0.476285189718482;0.3207835444
INFERELATOR;0.477299354670626;0.73921358629131;0.6082564704
JUMP3;0.186969182468118;0.51438188494492;0.3506755337
KBOOST;0.437675317310972;0.733476132190942;0.5855757247
LEAP;0.352723506742208;0.688188494492044;0.5204560006
LOCPCACMI;0.527121922158281;0.771190330477356;0.6491561263
MEOMI;0.381361705841927;0.636933904528764;0.5091478051
MRNETB;0.437332099491593;0.72452570379437;0.5809289016
MRNET;0.443742348303812;0.706854345165239;0.5752983467
NARROMI;0.315470699725299;0.593482252141983;0.4544764759
NONLINEARODES;0.260696095185934;0.642900856793146;0.4517984759
PCACMI;0.476047088405936;0.777845777233782;0.6269464328
PCIT;0.180952380952381;0.5;0.3404761904
PIDC;0.248431043741015;0.515146878824969;0.3817889612
PLSNET;0.261888663946003;0.68375152998776;0.4728200969
PUC;0.21157072538241;0.512851897184822;0.3622113112
RSNET;0.403357139765497;0.637851897184822;0.5206045184
TIGRESS;0.510914022750628;0.80875152998776;0.6598327763
BEST_GENECI;0.534889570586384;0.818237454100367;0.6765635123433755
MEDIAN_GENECI;0.290082404230416;0.649938800489596;0.4700106023600059
MEAN;0.48586771911081;0.782894736842105;0.6343812279764575
MEDIAN;0.504615615541956;0.817013463892289;0.6608145397171226
