sim_eipo-modular_size-50_knockdown_exp;sim_eipo-modular_size-50_knockdown_exp;sim_eipo-modular_size-50_knockdown_exp;sim_eipo-modular_size-50_knockdown_exp;sim_eipo-modular_size-50_knockdown_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.162274739265673;0.574962806947161;0.3686187731;0 days 00:00:00.271980454
BC3NET;0.207866398914521;0.625913110342176;0.4168897546;0 days 00:00:03.776249592
C3NET;0.170235189672746;0.572881667586046;0.3715584286;0 days 00:00:00.400836847
CLR;0.229473861918832;0.681159420289855;0.4553166411;0 days 00:00:00.231699036
CMI2NI;0.195754691845135;0.663026762282065;0.4293907270;0 days 00:01:23.721059616
GENIE3_ET;0.241348743358293;0.734366380823429;0.4878575620;0 days 00:00:25.535322485
GENIE3_RF;0.228098574173029;0.72750447152433;0.4778015228;0 days 00:00:31.953046939
GRNBOOST2;0.18840447209645;0.695877839626899;0.4421411558;0 days 00:00:05.735683336
GRNVBEM;0.0982608813320558;0.517234174147067;0.3077475277;0 days 00:00:13.447054766
INFERELATOR;0.215491408995783;0.678401283787172;0.4469463463;0 days 00:03:10.990860986
KBOOST;0.158385896485146;0.609991140531234;0.3841885185;0 days 00:00:00.380002781
LEAP;0.186188319345373;0.653135081824716;0.4196617005;0 days 00:00:00.370427916
LOCPCACMI;0.229793223824483;0.692492853919061;0.4611430388;0 days 00:00:28.027660339
MEOMI;0.103754367918177;0.529921602059409;0.3168379849;0 days 00:00:24.765372705
MRNETB;0.212391761377729;0.664468515453922;0.4384301384;0 days 00:00:00.275287447
MRNET;0.215195054850969;0.664631496247263;0.4399132755;0 days 00:00:00.297145854
NARROMI;0.10716846238153;0.550741353659963;0.3289549080;0 days 00:00:08.394129266
NONLINEARODES;0.118409342768461;0.598682780870234;0.3585460618;0 days 00:00:03.726432755
PCACMI;0.206619054680763;0.657773765942865;0.4321964103;0 days 00:00:13.717999966
PCIT;0.08;0.5;0.2900000000;0 days 00:00:12.921881228
PIDC;0.160536427237182;0.641918660047139;0.4012275436;0 days 00:00:11.011288278
PLSNET;0.144588403324469;0.607801347307892;0.3761948753;0 days 00:00:14.655596769
PUC;0.185945694006342;0.651918994366715;0.4189323441;0 days 00:00:13.278223361
RSNET;0.140514582875683;0.549587951122478;0.3450512669;0 days 00:00:08.445447955
TIGRESS;0.249717078557857;0.708059609180416;0.4788883438;0 days 00:00:41.162340483
