sim_eipo-modular_size-50_knockout_exp;sim_eipo-modular_size-50_knockout_exp;sim_eipo-modular_size-50_knockout_exp;sim_eipo-modular_size-50_knockout_exp;sim_eipo-modular_size-50_knockout_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.20862455723005;0.58566103338181;0.3971427953;0 days 00:00:00.271326755
BC3NET;0.214468352246981;0.623330491616937;0.4188994219;0 days 00:00:04.640830305
C3NET;0.206662839867663;0.575142503719305;0.3909026717;0 days 00:00:00.396177237
CLR;0.215048372424617;0.718097554452301;0.4665729634;0 days 00:00:00.270875203
CMI2NI;0.257510803973908;0.722381024020862;0.4899459139;0 days 00:00:10.500798658
GENIE3_ET;0.2586219347895;0.771977333132742;0.5152996339;0 days 00:00:25.878371427
GENIE3_RF;0.290642039888161;0.77710078063621;0.5338714102;0 days 00:00:32.389763392
GRNBOOST2;0.216848361694574;0.73186734199221;0.4743578518;0 days 00:00:05.482255870
GRNVBEM;0.0831841545310198;0.478331912475135;0.2807580335;0 days 00:00:12.893337911
INFERELATOR;0.243042301935068;0.714913160490113;0.4789777312;0 days 00:03:05.785216036
KBOOST;0.234477244445383;0.704553432626247;0.4695153385;0 days 00:00:00.357030466
LEAP;0.160649983737309;0.636903866405897;0.3987769250;0 days 00:00:00.326335891
LOCPCACMI;0.282564101607588;0.74002473964863;0.5112944206;0 days 00:00:09.149294576
MEOMI;0.100947512475673;0.528784915500727;0.3148662139;0 days 00:00:26.044175554
MRNETB;0.242734626916929;0.701506945489193;0.4721207862;0 days 00:00:00.548535584
MRNET;0.260466859456516;0.698610902161376;0.4795388808;0 days 00:00:00.331673070
NARROMI;0.151200479394914;0.568702672885011;0.3599515761;0 days 00:00:08.423862794
NONLINEARODES;0.116068133325461;0.635524798154556;0.3757964657;0 days 00:00:03.806314179
PCACMI;0.265401092218371;0.737241529177741;0.5013213106;0 days 00:00:07.032990764
PCIT;0.08;0.5;0.2900000000;0 days 00:00:12.186738291
PIDC;0.132778701152184;0.625361483041639;0.3790700920;0 days 00:00:10.213481770
PLSNET;0.154394634470027;0.693746552329372;0.4240705933;0 days 00:00:14.334349098
PUC;0.157557559180855;0.625984153252094;0.3917708562;0 days 00:00:13.350004018
RSNET;0.179190855169054;0.652144660080571;0.4156677576;0 days 00:00:08.403817009
TIGRESS;0.272777507286139;0.769131437741337;0.5209544725;0 days 00:00:41.398007385
