sim_eipo-modular_size-50_overexpression_exp;sim_eipo-modular_size-50_overexpression_exp;sim_eipo-modular_size-50_overexpression_exp;sim_eipo-modular_size-50_overexpression_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.149599789172784;0.580608628788259;0.3651042089
BC3NET;0.244423638642963;0.658112264513649;0.4512679515
C3NET;0.123201893583934;0.551556257626665;0.3373790756
CLR;0.238527538354924;0.701770222155358;0.4701488802
CMI2NI;0.258729288017577;0.728106246761279;0.4934177673
GENIE3_ET;0.254075727976647;0.788626448021664;0.5213510879
GENIE3_RF;0.230146700804634;0.770957658425689;0.5005521796
GRNBOOST2;0.176039547776108;0.706726509870785;0.4413830288
GRNVBEM;0.0935580519861416;0.528417163967036;0.3109876079
INFERELATOR;0.211677078086513;0.692242114236999;0.4519595961
KBOOST;0.21986921004932;0.647426575063103;0.4336478925
LEAP;0.145357973383959;0.678292629924945;0.4118253016
LOCPCACMI;0.261413344737831;0.741579325677415;0.5014963352
MEOMI;0.083769296072723;0.508968122628421;0.2963687093
MRNETB;0.214603421485792;0.710032094679304;0.462317758
MRNET;0.206522482243786;0.704503284689835;0.4555128834
NARROMI;0.144265459210205;0.582501713387827;0.3633835862
NONLINEARODES;0.143319054967762;0.641442254651221;0.3923806548
PCACMI;0.255505338521285;0.711014158434047;0.4832597484
PCIT;0.08;0.5;0.29
PIDC;0.19533007520497;0.712443374621801;0.4538867249
PLSNET;0.180700028368915;0.720174514818715;0.4504372715
PUC;0.267511071678744;0.707123514367384;0.487317293
RSNET;0.211311699185646;0.659587449643114;0.4354495744
TIGRESS;0.339683902374089;0.788831218762015;0.5642575605
BEST_GENECI;0.273114541314292;0.7996757100112;0.5363951256627459
MEDIAN_GENECI;0.249937246073874;0.766653293883623;0.5082952699787485
MEAN;0.278301038850862;0.805225414974174;0.541763226912518
MEDIAN;0.25871020931902;0.758892900723802;0.508801555021411
