sim_scale-free_size-100_knockdown_exp;sim_scale-free_size-100_knockdown_exp;sim_scale-free_size-100_knockdown_exp;sim_scale-free_size-100_knockdown_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0514574546562379;0.540528885468552;0.29599317
BC3NET;0.0644157419326136;0.554373220141093;0.309394481
C3NET;0.0467722402434601;0.526510220676699;0.2866412304
CLR;0.0843309387026048;0.672653338823203;0.3784921387
CMI2NI;0.0652555082666646;0.687309684840964;0.3762825965
GENIE3_ET;0.0725060948083589;0.669582490833332;0.3710442928
GENIE3_RF;0.0791301685689901;0.668238313860736;0.3736842412
GRNBOOST2;0.0709648825235498;0.673474525437861;0.3722197039
GRNVBEM;0.0353401881590128;0.50140840385866;0.268374296
INFERELATOR;0.062506417987019;0.580658073262233;0.3215822456
KBOOST;0.0546672984949939;0.57004228652302;0.3123547925
LEAP;0.0669530674302406;0.668235446589036;0.367594257
LOCPCACMI;0.0659833251783778;0.652680497620738;0.3593319113
MEOMI;0.0383048228826671;0.506469138407793;0.2723869806
MRNETB;0.079893772545583;0.683820215183007;0.3818569938
MRNET;0.0736404207955961;0.680489018922846;0.3770647198
NARROMI;0.0624518813092177;0.545743879235104;0.3040978802
NONLINEARODES;0.0471531806950143;0.562263378403021;0.3047082795
PCACMI;0.0688782008199047;0.688966394428776;0.3789222976
PCIT;0.0354455445544554;0.5;0.2677227722
PIDC;0.0718771447394857;0.630113922439154;0.3509955335
PLSNET;0.0506273905140235;0.516047546246225;0.2833374683
PUC;0.06699158875228;0.64004844542263;0.353520017
RSNET;0.0958689178244618;0.63878856623799;0.367328742
TIGRESS;0.0969438759104436;0.675716731906655;0.3863303039
BEST_GENECI;0.0770392483600659;0.696463736467911;0.3867514924139885
MEDIAN_GENECI;0.0732793251474566;0.692525252061855;0.3829022886046558
MEAN;0.0800780962356109;0.682520767648917;0.38129943194226396
MEDIAN;0.0812120271893561;0.703601522635963;0.3924067749126595
