sim_scale-free_size-100_knockdown_exp;sim_scale-free_size-100_knockdown_exp;sim_scale-free_size-100_knockdown_exp;sim_scale-free_size-100_knockdown_exp;sim_scale-free_size-100_knockdown_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0514574546562379;0.540528885468552;0.2959931700;0 days 00:00:00.288799113
BC3NET;0.0644157419326136;0.554373220141093;0.3093944810;0 days 00:00:06.768360817
C3NET;0.0467722402434601;0.526510220676699;0.2866412304;0 days 00:00:00.481600872
CLR;0.0843309387026048;0.672653338823203;0.3784921387;0 days 00:00:00.300237391
CMI2NI;0.0652555082666646;0.687309684840964;0.3762825965;0 days 00:01:00.235397317
GENIE3_ET;0.0725060948083589;0.669582490833332;0.3710442928;0 days 00:00:53.577733097
GENIE3_RF;0.0791301685689901;0.668238313860736;0.3736842412;0 days 00:01:10.877714573
GRNBOOST2;0.0709648825235498;0.673474525437861;0.3722197039;0 days 00:00:10.645071383
GRNVBEM;0.0353401881590128;0.50140840385866;0.2683742960;0 days 00:03:05.671131045
INFERELATOR;0.062506417987019;0.580658073262233;0.3215822456;0 days 00:10:53.733436511
KBOOST;0.0546672984949939;0.57004228652302;0.3123547925;0 days 00:00:00.624645274
LEAP;0.0669530674302406;0.668235446589036;0.3675942570;0 days 00:00:00.490085311
LOCPCACMI;0.0659833251783778;0.652680497620738;0.3593319113;0 days 00:02:04.415946951
MEOMI;0.0383048228826671;0.506469138407793;0.2723869806;0 days 00:01:47.096612374
MRNETB;0.079893772545583;0.683820215183007;0.3818569938;0 days 00:00:00.614813470
MRNET;0.0736404207955961;0.680489018922846;0.3770647198;0 days 00:00:00.306244008
NARROMI;0.0624518813092177;0.545743879235104;0.3040978802;0 days 00:00:10.027209078
NONLINEARODES;0.0471531806950143;0.562263378403021;0.3047082795;0 days 00:00:16.805470624
PCACMI;0.0688782008199047;0.688966394428776;0.3789222976;0 days 00:00:14.397881592
PCIT;0.0354455445544554;0.5;0.2677227722;0 days 00:00:13.403641247
PIDC;0.0718771447394857;0.630113922439154;0.3509955335;0 days 00:00:11.810607214
PLSNET;0.0506273905140235;0.516047546246225;0.2833374683;0 days 00:00:59.882560045
PUC;0.06699158875228;0.64004844542263;0.3535200170;0 days 00:00:13.814381382
RSNET;0.0958689178244618;0.63878856623799;0.3673287420;0 days 00:00:09.754979483
TIGRESS;0.0969438759104436;0.675716731906655;0.3863303039;0 days 00:01:37.269022586
