sim_scale-free_size-100_knockout_exp;sim_scale-free_size-100_knockout_exp;sim_scale-free_size-100_knockout_exp;sim_scale-free_size-100_knockout_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0488196330538208;0.535441198565447;0.2921304158
BC3NET;0.0662675006409938;0.564373116919312;0.3153203087
C3NET;0.0455844962025553;0.525827236557944;0.2857058663
CLR;0.0875161558468308;0.677449137467327;0.3824826466
CMI2NI;0.0591448026336256;0.667734247496012;0.363439525
GENIE3_ET;0.0775001503177917;0.685665591248628;0.3815828707
GENIE3_RF;0.0831137868630396;0.68199433656494;0.3825540617
GRNBOOST2;0.0714168376387559;0.67921652374273;0.3753166806
GRNVBEM;0.0338301649427281;0.490406682348731;0.2621184236
INFERELATOR;0.0737933276088018;0.598635293362037;0.3362143104
KBOOST;0.0548944160292608;0.573800706266365;0.3143475611
LEAP;0.0511983270906578;0.599088322290514;0.3251433246
LOCPCACMI;0.0600545082214782;0.651580612196915;0.3558175602
MEOMI;0.0371236903741824;0.503582369261012;0.2703530298
MRNETB;0.0738722201319652;0.679490634917176;0.3766814275
MRNET;0.0791519041365879;0.679378237866566;0.379265071
NARROMI;0.0539690140114475;0.531320929133659;0.2926449715
NONLINEARODES;0.0448080703492675;0.575566372178748;0.3101872212
PCACMI;0.0608289174702995;0.66796190886893;0.3643954131
PCIT;0.0354455445544554;0.5;0.2677227722
PIDC;0.0682509297058068;0.617887875913656;0.3430694028
PLSNET;0.0559525151747319;0.568078778863391;0.312015647
PUC;0.0568452991773375;0.61298598821666;0.3349156436
RSNET;0.089309303813564;0.676807442061041;0.3830583729
TIGRESS;0.128085920848818;0.721788053569811;0.4249369872
BEST_GENECI;0.0793167432171546;0.697571650252492;0.3884441967348233
MEDIAN_GENECI;0.0611313804307463;0.639962427271653;0.3505469038511996
MEAN;0.0784025000702214;0.672754840241355;0.3755786701557882
MEDIAN;0.0811295469111038;0.708171953724529;0.3946507503178164
