sim_scale-free_size-20_overexpression_exp;sim_scale-free_size-20_overexpression_exp;sim_scale-free_size-20_overexpression_exp;sim_scale-free_size-20_overexpression_exp;sim_scale-free_size-20_overexpression_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.312223088151082;0.531166666666667;0.4216948774;0 days 00:00:00.280440757
BC3NET;0.296778751862224;0.498555555555556;0.3976671537;0 days 00:00:04.624602457
C3NET;0.299028186068135;0.515611111111111;0.4073196485;0 days 00:00:00.353926647
CLR;0.325231142425601;0.525666666666667;0.4254489045;0 days 00:00:00.264839007
CMI2NI;0.357904278284712;0.579888888888889;0.4688965835;0 days 00:00:06.164417121
GENIE3_ET;0.354386471571245;0.627666666666667;0.4910265691;0 days 00:00:11.715259940
GENIE3_RF;0.327921808159542;0.579;0.4534609040;0 days 00:00:13.866820326
GRNBOOST2;0.298692319951973;0.546111111111111;0.4224017155;0 days 00:00:03.504297048
GRNVBEM;0.323230952290979;0.526444444444444;0.4248376983;0 days 00:00:06.313124911
INFERELATOR;0.3005750675613;0.498055555555556;0.3993153115;0 days 00:08:42.812850643
JUMP3;0.312925302117463;0.599666666666667;0.4562959843;0 days 00:00:33.492056309
KBOOST;0.309823560956776;0.523888888888889;0.4168562249;0 days 00:00:00.297758763
LEAP;0.321697767386365;0.537333333333333;0.4295155503;0 days 00:00:00.293406362
LOCPCACMI;0.316932553988535;0.518333333333333;0.4176329436;0 days 00:00:07.483107682
MEOMI;0.291542457669979;0.486388888888889;0.3889656732;0 days 00:00:10.266755153
MRNETB;0.303298477752075;0.535666666666667;0.4194825722;0 days 00:00:00.265922756
MRNET;0.304224558433827;0.5255;0.4148622792;0 days 00:00:00.544740131
NARROMI;0.2614219503715;0.471;0.3662109751;0 days 00:00:10.914168763
NONLINEARODES;0.397357395982172;0.608111111111111;0.5027342535;0 days 00:00:01.530001473
PCACMI;0.347834410177554;0.591777777777778;0.4698060939;0 days 00:00:05.297361143
PCIT;0.285714285714286;0.5;0.3928571428;0 days 00:00:14.167748763
PIDC;0.350163875777986;0.594944444444444;0.4725541601;0 days 00:00:10.403434306
PLSNET;0.316373458249127;0.5595;0.4379367291;0 days 00:00:09.520947479
PUC;0.361995438109276;0.596333333333333;0.4791643857;0 days 00:00:09.761114975
RSNET;0.312963046990229;0.570055555555556;0.4415093012;0 days 00:00:12.846435701
TIGRESS;0.332925627780195;0.584111111111111;0.4585183694;0 days 00:00:15.483574167
