IRMA_switch-on;IRMA_switch-on;IRMA_switch-on;IRMA_switch-on;IRMA_switch-on
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.487572950947748;0.613636363636364;0.5506046572;0 days 00:00:00.268506760
BC3NET;0.230447955079547;0.454545454545455;0.3424967048;0 days 00:00:57.863111843
C3NET;0.485670064247615;0.590909090909091;0.5382895775;0 days 00:00:00.359360404
CLR;0.533068160799609;0.704545454545455;0.6188068076;0 days 00:00:00.239019893
CMI2NI;0.497927009543028;0.659090909090909;0.5785089593;0 days 00:00:06.807364717
GENIE3_ET;0.388090227551918;0.727272727272727;0.5576814774;0 days 00:00:06.693091162
GENIE3_RF;0.665284673028685;0.727272727272727;0.6962787001;0 days 00:00:07.952278492
GRNBOOST2;0.562369776294354;0.772727272727273;0.6675485245;0 days 00:00:04.664740195
GRNVBEM;0.266666666666667;0.5;0.3833333333;0 days 00:00:06.287099957
INFERELATOR;0.380277542266378;0.636363636363636;0.5083205893;0 days 00:06:25.946753968
JUMP3;0.568476891322329;0.772727272727273;0.6706020820;0 days 00:00:10.166302266
KBOOST;0.472992750367063;0.818181818181818;0.6455872842;0 days 00:00:00.304621898
LEAP;0.568476891322329;0.772727272727273;0.6706020820;0 days 00:00:00.299177888
LOCPCACMI;0.582556925833424;0.704545454545454;0.6435511901;0 days 00:00:07.268450988
MEOMI;0.409270130693437;0.681818181818182;0.5455441562;0 days 00:00:12.582286447
MRNETB;0.370394732717201;0.613636363636364;0.4920155481;0 days 00:00:00.274949916
MRNET;0.593753418208732;0.738636363636364;0.6661948909;0 days 00:00:00.548910009
NARROMI;0.266666666666667;0.5;0.3833333333;0 days 00:00:09.294639589
NONLINEARODES;0.482356635948534;0.636363636363636;0.5593601361;0 days 00:00:01.628418984
PCACMI;0.497927009543028;0.659090909090909;0.5785089593;0 days 00:00:06.216885170
PCIT;0.266666666666667;0.5;0.3833333333;0 days 00:00:13.841687249
PIDC;0.273559809546895;0.556818181818182;0.4151889956;0 days 00:00:16.175737367
PLSNET;0.730387450856156;0.818181818181818;0.7742846345;0 days 00:00:06.129390840
PUC;0.273559809546895;0.556818181818182;0.4151889956;0 days 00:00:08.310003771
RSNET;0.497927009543028;0.659090909090909;0.5785089593;0 days 00:00:12.115958911
TIGRESS;0.348156841662808;0.659090909090909;0.5036238753;0 days 00:00:03.360297443
