IRMA_switch-on;IRMA_switch-on;IRMA_switch-on;IRMA_switch-on
Technique;AUPR;AUROC;Mean
ARACNE;0.487572950947748;0.613636363636364;0.5506046572
BC3NET;0.230447955079547;0.454545454545455;0.3424967048
C3NET;0.485670064247615;0.590909090909091;0.5382895775
CLR;0.533068160799609;0.704545454545455;0.6188068076
CMI2NI;0.497927009543028;0.659090909090909;0.5785089593
GENIE3_ET;0.388090227551918;0.727272727272727;0.5576814774
GENIE3_RF;0.665284673028685;0.727272727272727;0.6962787001
GRNBOOST2;0.562369776294354;0.772727272727273;0.6675485245
GRNVBEM;0.266666666666667;0.5;0.3833333333
INFERELATOR;0.380277542266378;0.636363636363636;0.5083205893
JUMP3;0.568476891322329;0.772727272727273;0.670602082
KBOOST;0.472992750367063;0.818181818181818;0.6455872842
LEAP;0.568476891322329;0.772727272727273;0.670602082
LOCPCACMI;0.582556925833424;0.704545454545454;0.6435511901
MEOMI;0.409270130693437;0.681818181818182;0.5455441562
MRNETB;0.370394732717201;0.613636363636364;0.4920155481
MRNET;0.593753418208732;0.738636363636364;0.6661948909
NARROMI;0.266666666666667;0.5;0.3833333333
NONLINEARODES;0.482356635948534;0.636363636363636;0.5593601361
PCACMI;0.497927009543028;0.659090909090909;0.5785089593
PCIT;0.266666666666667;0.5;0.3833333333
PIDC;0.273559809546895;0.556818181818182;0.4151889956
PLSNET;0.730387450856156;0.818181818181818;0.7742846345
PUC;0.273559809546895;0.556818181818182;0.4151889956
RSNET;0.497927009543028;0.659090909090909;0.5785089593
TIGRESS;0.348156841662808;0.659090909090909;0.5036238753
BEST_GENECI;0.455687383106575;0.818181818181818;0.6369346006441965
MEDIAN_GENECI;0.407001363908447;0.772727272727273;0.58986431831786
MEAN;0.480139614580041;0.840909090909091;0.660524352744566
MEDIAN;0.498162142305424;0.840909090909091;0.6695356166072575
