syntren1000_exp;syntren1000_exp;syntren1000_exp;syntren1000_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.0115432625566357;0.608898615382694;0.3102209389
BC3NET;0.0073113845776686;0.512220855173865;0.2597661198
C3NET;0.037762395761962;0.543188145034648;0.2904752703
CLR;0.046223199947833;0.795065221073103;0.4206442105
KBOOST;0.0273178889044555;0.759630158871237;0.3934740238
LEAP;0.0161765779647909;0.779203707833677;0.3976901428
MRNETB;0.0397495832250213;0.765595308209196;0.4026724457
MRNET;0.0723085002433816;0.786937901612912;0.4296232009
NARROMI;0.0177078658297479;0.528241464500057;0.2729746651
PCIT;0.0047472527472527;0.5;0.2523736263
PIDC;0.0173756945250564;0.624581287576847;0.320978491
PUC;0.0133323970672144;0.56275371963283;0.2880430583
RSNET;0.009277981878678;0.391736910102192;0.2005074459
BEST_GENECI;0.0871048377787145;0.78057079632478;0.4338378170517472
MEDIAN_GENECI;0.0375849451920072;0.75465098289523;0.3961179640436186
MEAN;0.047160095202078;0.75347236628125;0.400316230741664
MEDIAN;0.0383439668983124;0.712874970356792;0.37560946862755223
