syntren1000_exp;syntren1000_exp;syntren1000_exp;syntren1000_exp;syntren1000_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0115432625566357;0.608898615382694;0.3102209389;0 days 00:00:04.455720226
BC3NET;0.00731138457766868;0.512220855173865;0.2597661198;0 days 00:12:39.450367719
C3NET;0.037762395761962;0.543188145034648;0.2904752703;0 days 00:00:14.598435656
CLR;0.046223199947833;0.795065221073103;0.4206442105;0 days 00:00:04.116752700
KBOOST;0.0273178889044555;0.759630158871237;0.3934740238;0 days 00:02:59.360822114
LEAP;0.0161765779647909;0.779203707833677;0.3976901428;0 days 00:00:40.343233862
MRNETB;0.0397495832250213;0.765595308209196;0.4026724457;0 days 00:00:12.273554326
MRNET;0.0723085002433816;0.786937901612912;0.4296232009;0 days 00:00:05.258880485
NARROMI;0.0177078658297479;0.528241464500057;0.2729746651;0 days 00:24:56.417438340
PCIT;0.00474725274725275;0.5;0.2523736263;0 days 00:01:03.993456234
PIDC;0.0173756945250564;0.624581287576847;0.3209784910;0 days 00:06:20.367408125
PUC;0.0133323970672144;0.56275371963283;0.2880430583;0 days 00:05:38.057690200
RSNET;0.00927798187867804;0.391736910102192;0.2005074459;0 days 00:16:00.971380524
