sim_BioGrid_Canis_familiaris_mixed_exp,ARACNE,BC3NET,C3NET,CLR,GENIE3_ET,GENIE3_RF,GRNBOOST2,INFERELATOR,KBOOST,LEAP,MEOMI,MRNETB,MRNET,NARROMI,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,BEST_GENECI,MEDIAN_GENECI
sim_BioGrid_Canis_familiaris_mixed_exp,0.276332148556137,0.370154428229503,0.285570707311416,0.270688109264601,0.210143453106439,0.243987182256797,0.201487649155936,0.0887719068290795,0.0413143730656744,0.231432714070478,0.0143333735338251,0.218278030388358,0.32681700690101,0.187813304204768,0.244438270655135,0.0072324851864761,0.0517866629335132,0.0297359770586186,0.100887263132301,0.25200088294351,0.292938156329749,0.166380223455811
sim_BioGrid_Human_Herpesvirus_1_mixed_exp,0.219773266005071,0.017161916185443,0.158003159149827,0.16535273126309,0.077720515972921,0.0990040236149002,0.0932271750867984,0.184080667842622,0.0343127825179444,0.065375809267426,0.0484396235889058,0.207180204331618,0.209677043978299,0.02205820893433,0.219220896283756,0.0066991773804246,0.0641347495696302,0.0520998777652387,0.0654005157069432,0.224670589342161,0.194931919469303,0.167463570877574
sim_BioGrid_Human_Herpesvirus_5_mixed_exp,0.137397766866368,0.0720285821949215,0.106954681014188,0.135781535981649,0.0805795520293071,0.0821190661577376,0.0656244333913585,0.129869838842959,0.0408154931876003,0.0516800861907601,0.0094178982400877,0.130895112687703,0.134781898061716,0.0056516367268119,0.154939400618826,0.0056737588652482,0.0596773194497687,0.024771887737681,0.0656749070836242,0.149248836292632,0.143068912470128,0.144599561237522
sim_BioGrid_Human_papillomavirus_5_mixed_exp,0.0134404551140878,0.0110115785959521,0.0147936704232795,0.0104589347490251,0.0090197934314921,0.0094653063973848,0.0411822086278517,0.0093229563619541,0.0092375836943473,0.0111062624059518,0.0676963904200637,0.0141015249750741,0.0137854740747642,0.0110115785959521,0.0146781431527103,0.0110222868217054,0.0129311175703364,0.0563121670054319,0.0202390191794624,0.0146779517016302,0.0701516973655657,0.0570638829397289
sim_BioGrid_Sus_scrofa_mixed_exp,0.260279021226127,0.350974846595084,0.24129772034628,0.33278542661424,0.242607234996827,0.216066537101721,0.164941670830192,0.303693597454492,0.127527273200469,0.132481870850426,0.0583557264786434,0.237978560817596,0.254471834131936,0.198457732576799,0.340175418947489,0.007422969187675,0.118862336283569,0.200058148887028,0.108210256707306,0.373247066702297,0.401036046913086,0.354053880346818
sim_eipo-modular_size-200_knockdown_exp,0.082137055364687,0.111054257823814,0.0662122299906151,0.19435110780557,0.148677781086376,0.16237281880932,0.172629977820576,0.147062098833442,0.0962257088958111,0.108918858491088,0.0693081692147021,0.13312004493741,0.146707329490342,0.0728694730582606,0.140620218913316,0.0183582089552239,0.154081068762881,0.167271185507716,0.121340680681455,0.135174847242107,0.186720374962042,0.171971514567983
sim_eipo-modular_size-200_knockout_exp,0.102975539004461,0.107660049825128,0.0760028372211527,0.216616872132356,0.181866335237779,0.192393314066545,0.192226745866917,0.149423545032666,0.0970007816113466,0.109123270232763,0.074227822901027,0.143178751410752,0.16428749595972,0.0758504013255256,0.149412493735921,0.0183582089552239,0.138842370776792,0.176689474722775,0.112690518612614,0.12545023014686,0.198663415298228,0.1909794245403
sim_eipo-modular_size-200_overexpression_exp,0.0762046854051078,0.129979744104688,0.0596572237736713,0.191555576778315,0.165574120546898,0.166031836275045,0.158286210289322,0.155398730940161,0.100061351549113,0.088377244602382,0.0504482518502839,0.136824812803579,0.146359575077266,0.0681024025846233,0.157756657341101,0.0183582089552239,0.145135744761298,0.193108842984722,0.138358979497664,0.149307526635108,0.198852916156262,0.187780975043304
sim_scale-free_size-200_knockdown_exp,0.0470274929527586,0.0716895312289651,0.0406554294297964,0.106447179013551,0.0906418128723752,0.102973678411995,0.100534281831444,0.0651438888730578,0.0426969088368067,0.0575539499361823,0.0383197570928176,0.0755022943143268,0.0788736416231301,0.0488548280698664,0.0566186413652065,0.0199502487562189,0.0688876361740326,0.0363340401628102,0.0709557787316524,0.0673099913490969,0.102478702507938,0.0948850733228379
sim_scale-free_size-200_knockout_exp,0.0564269067256753,0.0653933160304185,0.0507768326937485,0.089737417991651,0.0737851131186672,0.092305474432226,0.0852430571002589,0.0715046480810919,0.0470555819760221,0.0401972632083537,0.0358166622326247,0.0614435102160721,0.0850223302638223,0.0482331465722161,0.0416887327449739,0.0199502487562189,0.0588549948929298,0.0370676936119481,0.0536546814641395,0.0614385315510345,0.0955220135125248,0.0584569967342112
sim_scale-free_size-200_overexpression_exp,0.050248654577732,0.07070419324575,0.0436642747942877,0.108269266425902,0.0738269632350392,0.0963453190364241,0.0966811214307618,0.0638387149155089,0.0469374372485511,0.0576879669958592,0.0336537350853669,0.0789363733316955,0.0834929835453411,0.0424553655834792,0.0520810620775314,0.0199502487562189,0.071075896357765,0.0428322432187065,0.0751652666839453,0.0717318370376391,0.094793051652518,0.0713193308648457
sim_TFLink_Drosophila_melanogaster_mixed_exp,0.180402469225372,0.0731044761058899,0.153179454691107,0.197272251181844,0.115468274479803,0.141535214670282,0.116581472265633,0.163768007431097,0.0626454826985554,0.104635443451335,0.0284391301378743,0.208115249311694,0.216784472276994,0.0791073420665916,0.198675889556651,0.0101750710758641,0.0823083787791928,0.107761272293209,0.0867380256211286,0.211819084119333,0.184555060134641,0.180412294790515
