D4_100_1,ARACNE,BC3NET,C3NET,CLR,CMI2NI,GENIE3_ET,GENIE3_RF,GRNBOOST2,GRNVBEM,INFERELATOR,KBOOST,LEAP,LOCPCACMI,MEOMI,MRNETB,MRNET,NARROMI,NONLINEARODES,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,TIGRESS,BEST_GENECI,MEDIAN_GENECI
D4_100_1,0.0317350587823725,0.0330399597779726,0.0290328988807687,0.0480217666769516,0.0545392639899785,0.0764296695892904,0.0640890553635599,0.060539475774003,0.1894582304930199,0.0378439355113232,0.0460572848240926,0.0582753941629018,0.0601684498711551,0.0211006996981256,0.0469626053667479,0.0445520983412669,0.0414269739143504,0.0253320306692435,0.0256678312622611,0.0614499708967771,0.0680745435758114,0.0303686904048186,0.0670425657643661,0.0488080861470173,0.0257669407222514,0.1464072180472209,0.0750441221396616
D4_100_2,0.0452589624653725,0.0315458185825942,0.037972034777281,0.0578372112326704,0.0457081793961204,0.0526955910733019,0.0625037063528194,0.0668271024830577,0.076997872493052,0.0452915503982196,0.0430811201298925,0.0353455141471272,0.0475713560658524,0.0255218172203363,0.0638810073228745,0.0582593016788369,0.0348838867104148,0.0289722033738741,0.0251841284414954,0.0486215561877347,0.0532299506392916,0.0326984984894813,0.0566607284842419,0.0452773026611521,0.0587197949764863,0.084556637288601,0.075821167361422
D4_100_3,0.0672984422558656,0.0614476334273978,0.0664215638485695,0.1036195645443683,0.0967241186620852,0.1135592451166832,0.1162653787304644,0.0937707077404304,0.1569746660854388,0.0746629022661732,0.0539571421153534,0.0806576668867054,0.1007909082664669,0.0312154115980525,0.1076376717780201,0.1021512368130427,0.0718260854325517,0.0293847434728334,0.0393407373570889,0.1017082441656589,0.0947764506433506,0.0331148951824462,0.1011031145048085,0.0856983257847865,0.0335165213106682,0.1158177089683784,0.1141296071583402
D4_100_4,0.0418537951632998,0.0599919292638893,0.0383246135861841,0.0621021254260758,0.058735181807607,0.0688109583129462,0.068063827505222,0.0667799728311552,0.1460385593037318,0.052197481330492,0.036662550709624,0.0526623194622311,0.0672738176573482,0.0251649498423086,0.0604038720295516,0.0567821453675774,0.0484771331294262,0.0310296309399171,0.0247942800525949,0.0772192746285665,0.0554796916836557,0.0356991509109454,0.0558236206555517,0.0566124642702221,0.0419586938973707,0.07129530641974,0.0645285845822572
D4_100_5,0.059419776456097,0.0565557133466516,0.0574774833801403,0.076374737337253,0.0661170851027538,0.0843005501538643,0.0839416891682859,0.0745919252990836,0.1111597060648326,0.05382723721711,0.0413597633285719,0.0422547646311361,0.0705605932325894,0.0287816394628885,0.0738698208894925,0.0809725927651757,0.0705715905402223,0.0274923829521357,0.0264098324419758,0.0894105397081866,0.0645524013606376,0.0331544106662897,0.0676606622278047,0.0725788391611109,0.0301288743979594,0.1161588832363536,0.0852129208532545
D3_100_Ecoli1,0.0237518655459815,0.0179694593793126,0.0233482258635746,0.0310886075224825,0.0248427644162785,0.0353738706016148,0.0426281364837221,0.041713663069319,0.0501720436525649,0.0271622621660524,0.0153291704277738,0.0203777914108863,0.0245326309491494,0.0148236452135271,0.0332425398658009,0.0319604168555002,0.0262982133931272,0.0126258534522801,0.013647235778029,0.0236034957763742,0.0384956921269829,0.0178833269321418,0.0298638366320074,0.0281385546428629,0.0179865417625465,0.0475027616723012,0.032506190347769
D3_100_Ecoli2,0.0186589274456999,0.0174811248332943,0.0170193105907868,0.0267616924520419,0.0202644909656205,0.0367763824455703,0.0455606086813925,0.0504680920427035,0.0290999281515503,0.0297083227620715,0.013173348145145,0.0168432927791162,0.0195342008041227,0.0122882317175431,0.0234870736715835,0.0228552984650101,0.0250499524178134,0.0134758915308081,0.0094599887187034,0.0242294042295455,0.0461243910699028,0.0138419086886749,0.0486154617803801,0.0243215436686089,0.0289149647093834,0.0315656768402292,0.035664114447627
D3_100_Yeast1,0.0332287376281657,0.0195700800591815,0.0262938543613641,0.0472283043722676,0.0235127803293576,0.0501598724160831,0.056248545857067,0.058680244455442,0.0504303115679332,0.0384328174422626,0.019329884608166,0.0198931765076507,0.0285227381493017,0.0223280998073855,0.0357093222927308,0.0319978873716342,0.0258061952411774,0.0170564074348343,0.0175342936504738,0.0268590871902291,0.0557075887977012,0.0256594342317898,0.0551766020186877,0.0235387809584752,0.0167323992938049,0.0469331578809745,0.0354922385426437
D3_100_Yeast2,0.0529739576730932,0.0441043152970793,0.0507037882358779,0.0556828230753985,0.0426623662848121,0.0529956188702505,0.0590880812953333,0.0558457909293413,0.0661116754769823,0.0560377428798763,0.0389107630161229,0.0372706673166304,0.0413991234299291,0.03939527200753,0.0482153506357288,0.0500095615415873,0.0488064495742419,0.0443450307852136,0.0371889078965755,0.0432262336925454,0.0566991010422877,0.0461959043682613,0.0554258232432675,0.043826453922695,0.0403014768926679,0.0583894742064619,0.0557725676252473
D3_100_Yeast3,0.0640318227650178,0.0565678045807118,0.0638113326768151,0.069260527746832,0.0546655522731957,0.0653271835839148,0.0708147344928189,0.0720672537145515,0.0644677957949073,0.063294499737912,0.0516086724312803,0.0566841090385398,0.0545376329064013,0.0566690082723171,0.0658172822023571,0.0671256188119253,0.061488402072768,0.0440683530565934,0.0541652070197865,0.0563590167028479,0.0711827018550687,0.068980419606622,0.0713087477655958,0.0612108240056928,0.0509912628868582,0.0697154189416341,0.0588080020758717
