gnw1565_exp,ARACNE,BC3NET,C3NET,CLR,KBOOST,LEAP,MRNETB,MRNET,NARROMI,PCIT,PIDC,PUC,RSNET,BEST_GENECI,MEDIAN_GENECI
gnw1565_exp,0.367394186506896,0.248779950296259,0.275237443444729,0.300400577340596,0.336914232126686,0.0705787516884891,0.134501531405521,0.31293708584879,0.0836726364294274,0.0029639422390331,0.0779572664797399,0.186354632943194,0.109000194060486,0.292942853598357,0.105658979322019
rogers1000_exp,0.212547055712514,0.512233191470725,0.13888946017753,0.216146772521838,0.0077005162370305,0.0082255259813251,0.216109081428174,0.21543237259058,0.178668327988997,0.0013386613386613,0.119920849451562,0.119450282856585,0.500311937306896,0.419860904598162,0.312688372651878
sim_BioGrid_Bos_taurus_mixed_exp,0.312982455698759,0.28116146200873,0.287247075454918,0.368037777253966,0.0817961268605563,0.144021771472004,0.267909775442128,0.320997181996834,0.0945582565440338,0.0017362476085646,0.21557444403037,0.205119812348151,0.295127532032838,0.356090990837671,0.339975766697106
sim_BioGrid_Danio_rerio_mixed_exp,0.110381939334246,0.187022225871433,0.0949750139398382,0.265184517293926,0.0210643521650911,0.0140082192095054,0.0204134287142323,0.0572303551244564,0.0898613632940484,0.0011515014675999,0.115787234701027,0.032084549849065,0.0244300087471006,0.260909170131268,0.108834831572664
sim_BioGrid_Gallus_gallus_mixed_exp,0.196636352587291,0.135167903931593,0.177243232600042,0.205194765447729,0.0242494685562447,0.105285779046024,0.114587988490447,0.175057840719115,0.0948780346510819,0.002655721873491,0.108659278289064,0.105222792428005,0.131382688843276,0.217832721691979,0.153676184689316
sim_BioGrid_Human_Herpesvirus_4_mixed_exp,0.134351556512336,0.0632228609290941,0.126411507191871,0.1254321232456,0.0052040647636991,0.023103245088899,0.102765875423529,0.133996160967539,0.0135486115554246,0.0030846666035532,0.0211098119790986,0.0371667162113085,0.106255108155468,0.101136923704752,0.0378685059771111
sim_BioGrid_Human_Herpesvirus_8_mixed_exp,0.274207235515729,0.135990732435675,0.271195500010032,0.288951818440502,0.0083165943471212,0.0951218310188723,0.141385732932902,0.235378748150213,0.0936190446575107,0.0014610533233907,0.134389195024486,0.12780548935667,0.155354290649591,0.281350804000108,0.226542860406063
sim_BioGrid_Human_papillomavirus_16_mixed_exp,0.162479611110958,0.0129960899478766,0.159192919137618,0.0413870741448566,0.0037438066248523,0.0514932303588477,0.0519458675005684,0.13614174356764,0.0723578403004135,0.0033793610868709,0.0114597324843286,0.0527341558233895,0.0538568338857843,0.0843663762613633,0.0622493972027043
sim_BioGrid_Human_papillomavirus_6b_mixed_exp,0.114043754674868,0.0424953100045123,0.115411467098869,0.0924185135552769,0.0041704058035325,0.0650664779380205,0.0605061120959463,0.136753949987065,0.184170999272448,0.0033911149000663,0.016747057504609,0.0650922118310735,0.0858042296542625,0.135026688476743,0.0819118491652476
sim_BioGrid_Macaca_mulatta_mixed_exp,0.007058270161713,0.0100600113979978,0.0067331431346595,0.0070425791180028,0.0056487407002058,0.0066653780225195,0.0070774079126821,0.007085292141799,0.0096059531409871,0.0058840835539864,0.0072324493680366,0.0067218295269745,0.0107128611582821,0.0110103607235663,0.009494790248531
sim_BioGrid_Middle-East_Respiratory_Syndrome-related_Coronavirus_mixed_exp,0.442758384356632,0.467393803204828,0.408912955753971,0.388004293399794,0.0023146512737727,0.0070190206792225,0.216889533350479,0.36769555706703,0.0158697989210469,0.001628835645229,0.01908559425087,0.0293929042451137,0.226353985496794,0.455000280039426,0.402281021374397
sim_BioGrid_Oryctolagus_cuniculus_mixed_exp,0.312918613125645,0.119519592020458,0.26682524405553,0.308509108431298,0.036116069266599,0.130340198927283,0.246828575191658,0.312797240756516,0.127436568035927,0.002657154296946,0.136998860603617,0.140224359880601,0.257529023236096,0.302561884542371,0.233229732530391
