D4_10_1,ARACNE,BC3NET,C3NET,CLR,CMI2NI,GENIE3_ET,GENIE3_RF,GRNBOOST2,GRNVBEM,INFERELATOR,JUMP3,KBOOST,LEAP,LOCPCACMI,MEOMI,MRNETB,MRNET,NARROMI,NONLINEARODES,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,TIGRESS,BEST_GENECI,MEDIAN_GENECI
D4_10_1,0.6235555555555556,0.7413333333333333,0.6635555555555556,0.6506666666666667,0.6417777777777778,0.8613333333333333,0.8320000000000001,0.6693333333333333,0.7564444444444445,0.6631111111111111,0.5582222222222223,0.5857777777777778,0.6675555555555556,0.6444444444444444,0.5831111111111111,0.6866666666666666,0.6493333333333333,0.5902222222222222,0.6444444444444445,0.5244444444444445,0.5884444444444444,0.5422222222222222,0.3466666666666667,0.5422222222222222,0.7004444444444444,0.5973333333333333,0.8302222222222222,0.7653333333333334
D4_10_2,0.4489020270270271,0.5097128378378378,0.4864864864864865,0.4860641891891892,0.5996621621621621,0.612331081081081,0.6258445945945945,0.566722972972973,0.6984797297297297,0.6123310810810811,0.7668918918918919,0.6030405405405406,0.5844594594594594,0.5122466216216215,0.4809966216216217,0.4907094594594594,0.5046452702702703,0.5430743243243243,0.5734797297297297,0.4467905405405404,0.5819256756756757,0.5287162162162162,0.5168918918918919,0.4442567567567567,0.6030405405405406,0.6140202702702704,0.6469594594594594,0.6182432432432432
D4_10_3,0.5617777777777778,0.5671111111111111,0.5262222222222223,0.5946666666666667,0.6177777777777778,0.648,0.6817777777777778,0.7075555555555555,0.5777777777777777,0.5813333333333333,0.6835555555555555,0.576,0.6311111111111111,0.5537777777777778,0.5266666666666666,0.6302222222222221,0.5422222222222223,0.5702222222222222,0.4862222222222222,0.4995555555555556,0.5648888888888889,0.6106666666666667,0.648,0.6106666666666667,0.648,0.487111111111111,0.6719999999999999,0.6648888888888889
D4_10_4,0.6693306693306693,0.6348651348651349,0.6343656343656343,0.6893106893106893,0.6863136863136863,0.7162837162837163,0.6853146853146853,0.7602397602397603,0.6853146853146854,0.7982017982017982,0.7022977022977024,0.7382617382617382,0.6673326673326674,0.6283716283716283,0.6503496503496504,0.6718281718281719,0.7117882117882117,0.5384615384615385,0.7672327672327672,0.6433566433566433,0.5394605394605395,0.7142857142857143,0.6863136863136863,0.7222777222777224,0.6813186813186813,0.4915084915084915,0.7622377622377623,0.7552447552447552
D4_10_5,0.6688034188034188,0.6613247863247863,0.6965811965811965,0.6912393162393162,0.7628205128205128,0.8301282051282052,0.8087606837606838,0.7350427350427351,0.813034188034188,0.7590811965811965,0.7318376068376069,0.6666666666666667,0.767094017094017,0.7003205128205129,0.7435897435897436,0.670405982905983,0.6720085470085471,0.5064102564102564,0.6164529914529915,0.5673076923076923,0.5576923076923077,0.7243589743589743,0.7200854700854701,0.6944444444444444,0.6148504273504274,0.4017094017094016,0.811965811965812,0.782051282051282
D3_10_Ecoli1,0.5609896432681244,0.6116225546605294,0.5753739930955122,0.571921749136939,0.57307249712313,0.6087456846950519,0.5972382048331416,0.5477560414269276,0.384349827387802,0.3952819332566168,0.566168009205984,0.5949367088607596,0.5776754890678941,0.5926352128883774,0.5356731875719218,0.547180667433832,0.5155350978135789,0.5431530494821634,0.4568469505178366,0.5489067894131185,0.5454545454545455,0.6352128883774453,0.5466052934407365,0.6628308400460299,0.5719217491369389,0.4810126582278481,0.6363636363636364,0.6294591484464902
D3_10_Ecoli2,0.524,0.4804444444444444,0.5217777777777778,0.4542222222222222,0.5511111111111111,0.6506666666666667,0.6897777777777778,0.6933333333333334,0.5155555555555555,0.6471111111111111,0.6897777777777778,0.6479999999999999,0.5591111111111111,0.4679999999999999,0.5213333333333334,0.463111111111111,0.5115555555555555,0.5297777777777778,0.5413333333333334,0.368,0.4862222222222222,0.615111111111111,0.6462222222222223,0.624,0.5315555555555556,0.6568888888888889,0.672,0.64
D3_10_Yeast1,0.6268750000000001,0.5706249999999999,0.5718749999999999,0.5787500000000001,0.575,0.51125,0.47875,0.46875,0.4625,0.489375,0.3687500000000001,0.34375,0.565,0.5487500000000001,0.491875,0.54875,0.5206249999999999,0.5312500000000001,0.5625,0.3900000000000001,0.563125,0.4525,0.5775000000000001,0.4599999999999999,0.5431249999999999,0.67625,0.4850000000000001,0.4775
D3_10_Yeast2,0.6030769230769232,0.5913846153846154,0.6003076923076923,0.5781538461538462,0.5384615384615384,0.5833846153846154,0.56,0.5624615384615386,0.5507692307692309,0.5618461538461539,0.5692307692307691,0.5415384615384615,0.656,0.563076923076923,0.5969230769230769,0.5753846153846154,0.5787692307692307,0.5686153846153846,0.592,0.688,0.4119999999999999,0.5618461538461539,0.5593846153846155,0.563076923076923,0.6110769230769231,0.4892307692307692,0.6283076923076922,0.608
D3_10_Yeast3,0.5043449197860963,0.4846256684491977,0.5167112299465241,0.4893048128342246,0.5160427807486632,0.5768716577540107,0.5795454545454546,0.606283422459893,0.4405080213903742,0.5220588235294118,0.5367647058823529,0.3168449197860963,0.4832887700534758,0.4986631016042779,0.5023395721925132,0.4485294117647059,0.4401737967914437,0.4866310160427807,0.5474598930481283,0.5267379679144385,0.5675133689839573,0.517379679144385,0.5467914438502673,0.5200534759358288,0.3542780748663101,0.4304812834224599,0.5628342245989305,0.5508021390374331
sim_BioGrid_Bacillus_subtilis_168_mixed_exp,0.489197530864198,0.584876543209877,0.493827160493827,0.429012345679012,0.546296296296296,0.515432098765432,0.506172839506173,0.432098765432099,0.478395061728395,0.634259259259259,0.342592592592593,0.385802469135802,0.441358024691358,0.672839506172839,0.574074074074074,0.432098765432099,0.524691358024691,0.5,0.268518518518519,0.546296296296296,0.5,0.54320987654321,0.342592592592593,0.521604938271605,0.546296296296296,0.481481481481482,0.549382716049383,0.540123456790123
sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp,0.648333333333333,0.562777777777778,0.620555555555556,0.69,0.713333333333333,0.695,0.694444444444444,0.586388888888889,0.424444444444444,0.725277777777778,0.513888888888889,0.433888888888889,0.644722222222222,0.742777777777778,0.606666666666667,0.737777777777778,0.690555555555556,0.584444444444444,0.685277777777778,0.712777777777778,0.5,0.527222222222222,0.475,0.538055555555556,0.717777777777778,0.680555555555556,0.736111111111111,0.724444444444444
sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp,0.771838331160365,0.793785310734463,0.717731421121252,0.879617557583659,0.953063885267275,0.874402433724468,0.856149500217297,0.764884832681443,0.496088657105606,0.837244676227727,0.636245110821382,0.679704476314646,0.700564971751412,0.862668405041286,0.628857018687527,0.871360278139939,0.869621903520209,0.688830943068231,0.671447196870926,0.953063885267275,0.5,0.774445893089961,0.670143415906128,0.782268578878748,0.950456323337679,0.94980443285528,0.933941764450239,0.893959148196436
sim_BioGrid_Simian_Virus_40_mixed_exp,0.823529411764706,0.625,0.720588235294118,0.764705882352941,0.985294117647059,0.720588235294118,0.647058823529412,0.647058823529412,0.852941176470588,0.75,0.691176470588235,0.897058823529412,0.867647058823529,0.852941176470588,0.507352941176471,0.794117647058823,0.801470588235294,0.5,0.941176470588235,0.985294117647059,0.5,0.617647058823529,0.985294117647059,0.573529411764706,0.985294117647059,0.808823529411765,0.985294117647059,0.955882352941176
sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp,0.537037037037037,0.611111111111111,0.578703703703704,0.564814814814815,0.652777777777778,0.560185185185185,0.537037037037037,0.546296296296296,0.444444444444444,0.592592592592593,0.449074074074074,0.643518518518518,0.472222222222222,0.699074074074074,0.62962962962963,0.527777777777778,0.527777777777778,0.555555555555556,0.421296296296296,0.652777777777778,0.5,0.37962962962963,0.587962962962963,0.333333333333333,0.652777777777778,0.560185185185185,0.625,0.625
sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp,0.544405594405594,0.479020979020979,0.504195804195804,0.546153846153846,0.803496503496503,0.421328671328671,0.595804195804196,0.616083916083916,0.611188811188811,0.726923076923077,0.426573426573427,0.951048951048951,0.586713286713287,0.845454545454545,0.437062937062937,0.548951048951049,0.571678321678322,0.486013986013986,0.425174825174825,0.803496503496503,0.5,0.674825174825175,1.0,0.707692307692308,0.808391608391608,0.477622377622378,0.78041958041958,0.684615384615385
sim_BioGrid_Vaccinia_Virus_mixed_exp,0.694727891156463,0.767857142857143,0.673469387755102,0.756802721088435,0.681972789115646,0.636054421768708,0.641156462585034,0.629251700680272,0.615646258503401,0.717687074829932,0.511904761904762,0.668367346938776,0.619047619047619,0.666666666666667,0.555272108843537,0.743197278911565,0.675170068027211,0.704081632653061,0.460034013605442,0.680272108843537,0.5,0.629251700680272,0.58843537414966,0.663265306122449,0.695578231292517,0.685374149659864,0.692176870748299,0.66156462585034
sim_BioGrid_Zea_mays_mixed_exp,0.836322869955157,0.865751121076233,0.801569506726457,0.817825112107623,0.753923766816143,0.743834080717489,0.734865470852018,0.616031390134529,0.459080717488789,0.835201793721973,0.489349775784753,0.661434977578475,0.524663677130045,0.797645739910314,0.709080717488789,0.809977578475336,0.809417040358744,0.75,0.591367713004484,0.753923766816143,0.5,0.704596412556054,0.723654708520179,0.649103139013453,0.753923766816143,0.757286995515695,0.758968609865471,0.757286995515695
sim_eipo-modular_size-20_knockdown_exp,0.654758261933905,0.605339657282742,0.617120563035496,0.785648714810281,0.842870257037944,0.829406364749082,0.832925336597307,0.627294981640147,0.436199510403917,0.81594247246022,0.65437576499388,0.686352509179927,0.694767441860465,0.720088739290086,0.645195838433293,0.762239902080783,0.753289473684211,0.539014687882497,0.626147490820073,0.822827417380661,0.5,0.534118727050183,0.710373317013464,0.534195226438188,0.572368421052632,0.793451652386781,0.766064871481028,0.746634026927785
sim_eipo-modular_size-20_knockout_exp,0.64672582619339,0.581548347613219,0.590575275397797,0.755507955936352,0.789014687882497,0.836291309669523,0.79452264381885,0.590575275397797,0.476285189718482,0.73921358629131,0.51438188494492,0.733476132190942,0.688188494492044,0.771190330477356,0.636933904528764,0.72452570379437,0.706854345165239,0.593482252141983,0.642900856793146,0.777845777233782,0.5,0.515146878824969,0.68375152998776,0.512851897184822,0.637851897184822,0.80875152998776,0.818237454100367,0.649938800489596
sim_eipo-modular_size-20_overexpression_exp,0.569920440636475,0.606487148102815,0.538402692778458,0.699127906976744,0.686429008567931,0.734700122399021,0.732864137086903,0.571144430844553,0.435893512851897,0.75,0.550336597307222,0.699510403916769,0.670440636474908,0.655676254589963,0.586597307221542,0.679467564259486,0.692778457772338,0.558445532435741,0.660648714810282,0.676790085679315,0.5,0.501223990208078,0.681456548347613,0.504130966952264,0.582236842105263,0.736153610771114,0.75734394124847,0.731487148102815
sim_scale-free_size-20_knockdown_exp,0.497277777777778,0.542055555555556,0.515555555555556,0.531222222222222,0.578333333333333,0.600111111111111,0.623777777777778,0.552555555555556,0.566666666666667,0.592222222222222,0.658222222222222,0.606666666666667,0.636111111111111,0.536666666666667,0.478555555555556,0.550333333333333,0.536555555555556,0.511277777777778,0.628555555555556,0.569777777777778,0.5,0.588833333333333,0.570111111111111,0.583,0.506444444444444,0.614388888888889,0.634222222222222,0.602444444444444
sim_scale-free_size-20_knockout_exp,0.486944444444445,0.5355,0.487055555555556,0.543666666666667,0.639444444444444,0.622888888888889,0.576666666666667,0.563444444444444,0.483777777777778,0.531888888888889,0.610055555555556,0.642111111111111,0.649222222222222,0.596666666666667,0.509111111111111,0.543611111111111,0.550777777777778,0.520111111111111,0.616277777777778,0.637444444444444,0.5,0.583055555555556,0.482111111111111,0.656333333333333,0.587833333333333,0.507555555555556,0.683,0.657111111111111
sim_scale-free_size-20_overexpression_exp,0.531166666666667,0.498555555555556,0.515611111111111,0.525666666666667,0.579888888888889,0.627666666666667,0.579,0.546111111111111,0.526444444444444,0.498055555555556,0.599666666666667,0.523888888888889,0.537333333333333,0.518333333333333,0.486388888888889,0.535666666666667,0.5255,0.471,0.608111111111111,0.591777777777778,0.5,0.594944444444444,0.5595,0.596333333333333,0.570055555555556,0.584111111111111,0.661,0.625444444444444
sim_TFLink_Rattus_norvegicus_mixed_exp,0.993421052631579,0.740131578947368,0.730263157894737,0.960526315789474,0.802631578947368,0.888157894736842,0.967105263157895,0.927631578947368,0.368421052631579,0.934210526315789,0.342105263157895,0.585526315789474,0.980263157894737,0.641447368421053,0.967105263157895,0.993421052631579,0.993421052631579,0.733552631578947,0.789473684210526,0.802631578947368,0.5,0.828947368421053,0.631578947368421,0.828947368421053,0.802631578947368,0.907894736842105,0.980263157894737,0.940789473684211
IRMA_switch-off,0.465909090909091,0.454545454545455,0.568181818181818,0.613636363636364,0.772727272727273,0.727272727272727,0.636363636363636,0.863636363636364,0.5,0.681818181818182,0.545454545454546,0.840909090909091,0.647727272727273,0.534090909090909,0.534090909090909,0.613636363636364,0.465909090909091,0.454545454545455,0.75,0.772727272727273,0.5,0.590909090909091,0.863636363636364,0.465909090909091,0.795454545454545,0.772727272727273,0.795454545454545,0.613636363636364
IRMA_switch-on,0.613636363636364,0.454545454545455,0.590909090909091,0.704545454545455,0.659090909090909,0.727272727272727,0.727272727272727,0.772727272727273,0.5,0.636363636363636,0.772727272727273,0.818181818181818,0.772727272727273,0.704545454545454,0.681818181818182,0.613636363636364,0.738636363636364,0.5,0.636363636363636,0.659090909090909,0.5,0.556818181818182,0.818181818181818,0.556818181818182,0.659090909090909,0.659090909090909,0.818181818181818,0.772727272727273
