sim_BioGrid_Canis_familiaris_mixed_exp,ARACNE,BC3NET,C3NET,CLR,GENIE3_ET,GENIE3_RF,GRNBOOST2,INFERELATOR,KBOOST,LEAP,MEOMI,MRNETB,MRNET,NARROMI,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,BEST_GENECI,MEDIAN_GENECI
sim_BioGrid_Canis_familiaris_mixed_exp,0.76928340060849,0.91543211377944,0.774180193079877,0.959496372217563,0.919894270313942,0.920960767497269,0.875518575663137,0.678433385961999,0.485217619358325,0.794463732221963,0.523279989086514,0.951292222343248,0.959703643856564,0.607492023743178,0.959077070151932,0.5,0.802953938108266,0.325242513105172,0.857674708312756,0.958059218353269,0.962712255147158,0.948502515283639
sim_BioGrid_Human_Herpesvirus_1_mixed_exp,0.698486019748837,0.510930047694754,0.626267119791135,0.755898397047884,0.809647613074488,0.781492393634865,0.734490453756509,0.712117493910532,0.562603739735418,0.584881893496303,0.561535165764793,0.768556467962836,0.765748202330771,0.50732851037762,0.786978931170782,0.5,0.752916745671738,0.621318971426905,0.754320058050495,0.78771386064964,0.812070637826169,0.779952159390907
sim_BioGrid_Human_Herpesvirus_5_mixed_exp,0.756923418440129,0.597232634137821,0.674617528894582,0.813065882558444,0.824291646045009,0.827472233543917,0.774839696934409,0.743801675449067,0.612296755364057,0.65787395557367,0.54134217881161,0.8100863562258,0.809170208739701,0.499694314244956,0.815314856327695,0.5,0.773816195522432,0.634041384028647,0.78115811231768,0.815115614719497,0.870688557163236,0.854609122536318
sim_BioGrid_Human_papillomavirus_5_mixed_exp,0.480093941575877,0.49993876301286,0.505211873246166,0.495189195372906,0.407073881415584,0.413674017348237,0.565677678108786,0.458481322718922,0.328148153132844,0.49729547855696,0.545914954610607,0.495524989401291,0.487511019293016,0.49993876301286,0.502719325989381,0.5,0.590134788665101,0.179052912794493,0.694086256670458,0.502770468967652,0.708443301952181,0.579393417360349
sim_BioGrid_Sus_scrofa_mixed_exp,0.815221066475689,0.843260713876857,0.76065530562204,0.898272414812133,0.92835140610898,0.931748537715882,0.873412919216956,0.888926309399884,0.680182422772496,0.727976550207528,0.604890431856362,0.898943321681207,0.890945685829222,0.593821799681053,0.93259915178203,0.5,0.819104073096901,0.81444233528837,0.816489666170586,0.932628437399331,0.955517809648812,0.950086658803922
sim_eipo-modular_size-200_knockdown_exp,0.59713759825754,0.613156713899509,0.571545415925499,0.814263359804547,0.828099043242726,0.830344969102724,0.838374373810131,0.702621258638718,0.661935004125268,0.742815942172903,0.581276433614775,0.790005107997966,0.783084519304977,0.598659902518137,0.817074612893004,0.5,0.788187160671465,0.823353851854874,0.783917264442524,0.788125285084385,0.844150367153664,0.835072236485884
sim_eipo-modular_size-200_knockout_exp,0.615991453614805,0.617477978540365,0.578491482801402,0.834895125343732,0.86717515900515,0.872147319111425,0.864800125371889,0.727846788629561,0.648334599001557,0.756698598864758,0.572662198164225,0.80514999919651,0.802171455397591,0.614508499755313,0.836027084613251,0.5,0.828007569011882,0.84430282420507,0.811729963125996,0.812748747070867,0.886948495200831,0.870783446570465
sim_eipo-modular_size-200_overexpression_exp,0.592755213447426,0.647325498139681,0.563268920915858,0.827280376346412,0.873086509487567,0.860443836813818,0.853009289304286,0.72201049920894,0.654407471549248,0.726534765220948,0.564934960585732,0.801336375332229,0.794552860636812,0.592566839712288,0.841787832251644,0.5,0.8339134255465,0.859575037643844,0.822868804938619,0.81700195543337,0.890811083874865,0.866439794092331
sim_scale-free_size-200_knockdown_exp,0.549769226357934,0.579819234592842,0.534522620298333,0.700997772080788,0.687861036783137,0.687338711954061,0.710852570588859,0.59699044181009,0.591639587259578,0.672058621910628,0.545090646651051,0.700252262890669,0.701784614052462,0.554193542996663,0.715644831269205,0.5,0.656499139986979,0.550707474169543,0.647054504456661,0.678596353929633,0.730726359389612,0.709440166779356
sim_scale-free_size-200_knockout_exp,0.55908695189282,0.579045051972333,0.547260396144012,0.683911888890394,0.684497193991518,0.670266690753192,0.705573367965942,0.624577130198515,0.625608550834701,0.646083089144999,0.542824116418432,0.677529487110185,0.684503903447635,0.555523914210615,0.685367207900347,0.5,0.712523731536178,0.558009261328125,0.730812569571047,0.640596906130531,0.73915160066735,0.726467500470611
sim_scale-free_size-200_overexpression_exp,0.552234888184382,0.580733556230749,0.538271307365375,0.706087654107029,0.684791903686644,0.683431782997453,0.690599950704487,0.59612802351196,0.5935400090565,0.675234599930956,0.53280753140247,0.702431253709981,0.705897067575237,0.543984156062456,0.707708051056176,0.5,0.677470494533756,0.57479897899801,0.678581226004991,0.679784244146221,0.738523950036579,0.690976756291919
sim_TFLink_Drosophila_melanogaster_mixed_exp,0.70964163443155,0.572575696945445,0.648038659908408,0.787187097061047,0.733371126228269,0.720708561202259,0.727961740251656,0.721963785514206,0.550659708327776,0.624002378729269,0.55943099462007,0.794175447956961,0.792886043306211,0.532735316348762,0.760329131652661,0.5,0.689418267306923,0.644235194077631,0.692547296696456,0.785693999822151,0.774470343693033,0.755012560579787
