gnw1565_exp,ARACNE,BC3NET,C3NET,CLR,KBOOST,LEAP,MRNETB,MRNET,NARROMI,PCIT,PIDC,PUC,RSNET,BEST_GENECI,MEDIAN_GENECI
gnw1565_exp,0.698278003271693,0.648337647933521,0.655312246817042,0.852782140705595,0.707389513105602,0.691155044405192,0.85197560339891,0.855065853534519,0.581526078958167,0.5,0.856376678195672,0.847562948961012,0.799656262576048,0.862290212909848,0.857233205212468
rogers1000_exp,0.832948877245129,0.988899170494087,0.649528242587554,0.929569761181488,0.565900053779479,0.745123215027438,0.930443843444084,0.929872658196324,0.592435057770388,0.5,0.928404170850925,0.923177450482417,0.9950492137476,0.996635046960743,0.993749767458249
sim_BioGrid_Bos_taurus_mixed_exp,0.853170290068195,0.773071843446367,0.806809457899636,0.905308561145992,0.684985608475489,0.674978585773127,0.901593575125145,0.901902791979284,0.552720433413797,0.5,0.879539713932925,0.875431377325179,0.894039792506451,0.904231193652597,0.902778493614864
sim_BioGrid_Danio_rerio_mixed_exp,0.803036890969684,0.795211650166621,0.753574057847104,0.874108680118948,0.670253984336714,0.662162759118732,0.845711778184856,0.85830868385189,0.548460799260267,0.5,0.844253960993515,0.835724730704938,0.82643834852094,0.886936309167558,0.873473907647906
sim_BioGrid_Gallus_gallus_mixed_exp,0.74337100281971,0.66312802046768,0.70439967669912,0.804236274886287,0.485289156811452,0.649835310657926,0.802883453976279,0.804496297552625,0.551159444002025,0.5,0.766954045689359,0.778697310777818,0.807687061254651,0.809979320907574,0.804490910313958
sim_BioGrid_Human_Herpesvirus_4_mixed_exp,0.636774909041856,0.561145083412916,0.628025784519998,0.626375002871457,0.401960220985306,0.525460356538315,0.629450715324209,0.630566146073623,0.505095507948345,0.5,0.686936697301276,0.689597138885316,0.632172148172645,0.703814822951781,0.690958700302163
sim_BioGrid_Human_Herpesvirus_8_mixed_exp,0.759071814310656,0.617508257045861,0.748667374608873,0.794612952872224,0.513538078598158,0.625806380209498,0.789080761270376,0.790036521352756,0.545789078076508,0.5,0.805951405205074,0.806061817700814,0.791780574536174,0.820579076881986,0.801547056881566
sim_BioGrid_Human_papillomavirus_16_mixed_exp,0.629223782051289,0.508839211678112,0.616566238778266,0.652556969414381,0.371128643718768,0.58997961378882,0.652442623643767,0.653868962985025,0.535239088932714,0.5,0.611955353969324,0.598593459004656,0.648630692282524,0.637343201066546,0.606603758925691
sim_BioGrid_Human_papillomavirus_6b_mixed_exp,0.649340201544655,0.536012112920399,0.646830889141732,0.764898331371169,0.446551623250911,0.710955050690949,0.774099917867346,0.782976887102327,0.594110332593707,0.5,0.738195196524729,0.767062796010481,0.77954634346147,0.789514618210595,0.795513559534068
sim_BioGrid_Macaca_mulatta_mixed_exp,0.510711718839652,0.522067232486365,0.50289735974295,0.512993594892825,0.470642919049834,0.501595992051748,0.510976899638222,0.51146702170066,0.501754119078824,0.5,0.506514803317006,0.514462149168635,0.576391095058917,0.57291475409341,0.531571538796045
