D4_10_1,ARACNE,BC3NET,C3NET,CLR,CMI2NI,GENIE3_ET,GENIE3_RF,GRNBOOST2,GRNVBEM,INFERELATOR,JUMP3,KBOOST,LEAP,LOCPCACMI,MEOMI,MRNETB,MRNET,NARROMI,NONLINEARODES,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,TIGRESS,BEST_GENECI,MEDIAN_GENECI
D4_10_1,0.4772736137,0.6045175968,0.5087567812,0.4995071086,0.4929872933,0.6571578813,0.6410199808,0.4907853072,0.6850681716,0.516785002,0.4098146806,0.4091047894,0.5017916957,0.487647425,0.4075014645,0.5240348988,0.4966364351,0.4290968022,0.4315926309,0.3670868782,0.4573431983,0.4065652219,0.2460573942,0.4181623635,0.5259205711,0.4615012048,0.635402953603398,0.5986410235875583
D4_10_2,0.3099593012,0.3562552879,0.3343870214,0.3370928284,0.4085562803,0.4257556045,0.4387522477,0.4001505076,0.5193718001,0.4339321688,0.6412003169,0.4199261395,0.4124325038,0.3526515716,0.3599569516,0.3372756701,0.3461023752,0.3729622203,0.3780992482,0.3109059939,0.4383707426,0.3675862497,0.3476030239,0.3265068727,0.4504129129,0.4165363641,0.4758506556389813,0.4547561372825005
D4_10_3,0.4194454741,0.3803709023,0.3943500138,0.4320062663,0.4334528979,0.4480984957,0.5235880866,0.521963112,0.415606068,0.4123276233,0.5261997714,0.4146307597,0.4649597444,0.381558139,0.3524137167,0.4619267567,0.4082978628,0.3959713245,0.3218314093,0.3734436538,0.3866288552,0.4251430481,0.4731850532,0.4198499377,0.449301962,0.3272531811,0.5077714674170679,0.4858845643203927
D4_10_4,0.4863132232,0.4567031803,0.4605058837,0.4793388238,0.5143878521,0.4955674334,0.4924526013,0.5741611895,0.45759741,0.5680475261,0.4912311025,0.5397063626,0.4711303238,0.4684461014,0.4426584085,0.4944131149,0.5145441563,0.3861162705,0.5591118594,0.4607654131,0.397851008,0.517074954,0.4798348346,0.5318719921,0.5063685776,0.3207631594,0.5589247343950239,0.5522968431549299
D4_10_5,0.4927774617,0.4389537477,0.5231267339,0.5280047926,0.5573459694,0.6227259904,0.6267147601,0.5486958018,0.5813221428,0.5626326519,0.5619193064,0.4529610564,0.6574066846,0.5218757003,0.5244852749,0.5051824549,0.5068024063,0.3566342505,0.4600637248,0.416616094,0.4077718538,0.543736618,0.4655076938,0.517922142,0.4506758459,0.2642511117,0.6500125993078135,0.6130814797708024
D3_10_Ecoli1,0.3569609664,0.4131157034,0.3676606436,0.3598183912,0.4026006346,0.3910614783,0.380421698,0.3433429495,0.2381722723,0.2910738693,0.3659952255,0.3844372111,0.36457102,0.381225456,0.332532785,0.344066417,0.3312306845,0.3425801714,0.2834621685,0.3457238934,0.42206278,0.405003119,0.3442557259,0.428982261,0.3673228413,0.2992017021,0.4155669088881893,0.4104280124831713
D3_10_Ecoli2,0.3545884203,0.3481079065,0.35249682,0.3070557721,0.4090521376,0.4348887651,0.4644672388,0.4976647527,0.3411074857,0.4422402705,0.4657143684,0.4436235923,0.3705698469,0.3080862478,0.3511045527,0.3158073468,0.3450355386,0.3524960615,0.3629810695,0.2546603431,0.3244191691,0.4059063369,0.483129129,0.4143603496,0.3470145902,0.5434922724,0.471877457413744,0.4489348876331494
D3_10_Yeast1,0.3907616345,0.4057793565,0.3543482967,0.3755966568,0.3643082564,0.3137156608,0.2919182689,0.286123175,0.2813745795,0.2983682151,0.2298543719,0.2182838519,0.3618837977,0.3510379475,0.3023501531,0.3386266483,0.3235028606,0.3284136922,0.343158538,0.2377254123,0.3662419288,0.3338124783,0.3759635791,0.3372633844,0.340533324,0.4591484321,0.306269635510948,0.2994057378863716
D3_10_Yeast2,0.5100190525,0.4686635682,0.5071670532,0.4782431695,0.4306562452,0.4673173545,0.4595175911,0.4668174463,0.43568123,0.4638442244,0.4476962884,0.433047242,0.5480589439,0.4577887992,0.4843243337,0.4898619704,0.4954838917,0.4836142061,0.4685218939,0.5787004554,0.3228148744,0.4298685211,0.4275470943,0.4387742628,0.4887431089,0.3691568947,0.5408890365508071,0.5115638784306944
D3_10_Yeast3,0.3753266265,0.356299374,0.3852719508,0.3756153136,0.3775176629,0.4322822733,0.444080276,0.4622408996,0.3287182601,0.4179622398,0.424229237,0.247723297,0.3572581258,0.3973656149,0.3858126291,0.3357610871,0.3359855102,0.3590324923,0.4682615447,0.3824518056,0.4588029114,0.3828897049,0.4192397732,0.4192290452,0.2669559413,0.3158774148,0.4417832811606581,0.4334925577712823
sim_BioGrid_Bacillus_subtilis_168_mixed_exp,0.3846830415,0.4724038725,0.3883383367,0.3068809528,0.4717742768,0.4478331513,0.425746129,0.3187970669,0.3299774104,0.5012671796,0.2545093945,0.3457993235,0.3574661692,0.5527638586,0.4072139477,0.3475540309,0.4096010328,0.35,0.1997881891,0.4717742768,0.35,0.4255911485,0.2437877186,0.4271849851,0.4717742768,0.3555437152,0.4892124016846155,0.442858366998539
sim_BioGrid_Chlamydomonas_reinhardtii_mixed_exp,0.4080801091,0.3654366397,0.376071182,0.413410032,0.4619098412,0.4413098113,0.3967459702,0.3830118595,0.2333526157,0.4135693194,0.2828666096,0.2470314407,0.3580926896,0.4790986116,0.3407844041,0.4586982898,0.437971555,0.3848156908,0.3861960547,0.460801132,0.2763157894,0.2911497329,0.2651317164,0.2983856283,0.4699680529,0.4055657627,0.5007819731276035,0.444043504539427
sim_BioGrid_Simian_Immunodeficiency_Virus_mixed_exp,0.6664968154,0.692675987,0.6117866917,0.7178620202,0.8292487592,0.7035360572,0.7032550434,0.5705682379,0.2852345325,0.7028461437,0.3922486966,0.4625417794,0.4184083102,0.7688687631,0.4011553954,0.7204461218,0.7175452001,0.5762278173,0.4024786547,0.8292487592,0.2842105263,0.5545687853,0.5299285033,0.6294852035,0.8146818375,0.8139697348,0.8171280136760299,0.7603327659969205
sim_BioGrid_Simian_Virus_40_mixed_exp,0.7355978392,0.5422720763,0.6324329733,0.648805558,0.9647541149,0.6051711244,0.4605188326,0.4430572113,0.8369471192,0.6327478607,0.4696295991,0.7882716169,0.7637837245,0.8369471192,0.3497248681,0.6973335159,0.7193671068,0.3452380952,0.8692219582,0.9647541149,0.3452380952,0.431508823,0.9647541149,0.4059869255,0.9647541149,0.6384900043,0.9647541149092536,0.920134671535366
sim_BioGrid_Streptococcus_pneumoniae_ATCCBAA255_mixed_exp,0.5532486001,0.6207342325,0.5867319214,0.5743171857,0.7000320866,0.5977746955,0.4863251483,0.4910250628,0.4486760151,0.6147176087,0.4139238519,0.6787375693,0.5091245991,0.7192943031,0.6347865236,0.5430257722,0.5430257722,0.5517047436,0.3906487855,0.7000320866,0.4642857142,0.4031856411,0.5497667116,0.3716031395,0.7000320866,0.5772933744,0.6806505543973069,0.6806505543973069
sim_BioGrid_Strongylocentrotus_purpuratus_mixed_exp,0.309862436,0.2690278038,0.285222666,0.3106562723,0.501306,0.2371299542,0.3341540393,0.3472780549,0.440637922,0.4247412709,0.2532189074,0.7099928497,0.3496986076,0.5301305133,0.2450002776,0.3141486917,0.3254516743,0.2732811756,0.2383763873,0.501306,0.2826797385,0.4431986224,1.0,0.4104763211,0.5109605471,0.2677873149,0.461598062185719,0.3894964721135227
