sim_BioGrid_Canis_familiaris_mixed_exp,ARACNE,BC3NET,C3NET,CLR,GENIE3_ET,GENIE3_RF,GRNBOOST2,INFERELATOR,KBOOST,LEAP,MEOMI,MRNETB,MRNET,NARROMI,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,BEST_GENECI,MEDIAN_GENECI
sim_BioGrid_Canis_familiaris_mixed_exp,0.5228077745,0.642793271,0.5298754501,0.6150922407,0.5650188617,0.5824739748,0.5385031124,0.3836026463,0.2632659962,0.5129482231,0.2688066813,0.5847851263,0.6432603253,0.3976526639,0.6017576704,0.2536162425,0.4273703005,0.177489245,0.4792809857,0.6050300506,0.6278252057384535,0.557441369369725
sim_BioGrid_Human_Herpesvirus_1_mixed_exp,0.4591296428,0.2640459819,0.3921351394,0.4606255641,0.4436840645,0.4402482086,0.4138588144,0.4480990808,0.2984582611,0.3251288513,0.3049873946,0.4878683361,0.4877126231,0.2646933596,0.5030999137,0.2533495886,0.4085257476,0.3367094245,0.4098602868,0.5061922249,0.503501278647736,0.4737078651342405
sim_BioGrid_Human_Herpesvirus_5_mixed_exp,0.4471605926,0.3346306081,0.3907861049,0.4744237092,0.452435599,0.4547956498,0.4202320651,0.4368357571,0.3265561242,0.3547770208,0.2753800385,0.4704907344,0.4719760534,0.2526729754,0.4851271284,0.2528368794,0.4167467574,0.3294066358,0.4234165097,0.4821822255,0.506878734816682,0.49960434188692
sim_BioGrid_Human_papillomavirus_5_mixed_exp,0.2467671983,0.2554751708,0.2600027718,0.252824065,0.2080468374,0.2115696618,0.3034299433,0.2339021395,0.1686928684,0.2542008704,0.3068056725,0.2548132571,0.2506482466,0.2554751708,0.2586987345,0.2555111434,0.3015329531,0.1176825398,0.3571626379,0.2587242103,0.3892974996588733,0.3182286501500389
sim_BioGrid_Sus_scrofa_mixed_exp,0.5377500438,0.5971177802,0.5009765129,0.6155289207,0.5854793205,0.5739075374,0.519177295,0.5963099534,0.4038548479,0.4302292105,0.3316230791,0.5684609412,0.5727087599,0.3961397661,0.6363872853,0.2537114845,0.4689832046,0.507250242,0.4623499614,0.652937752,0.678276928280949,0.65207026957537
sim_eipo-modular_size-200_knockdown_exp,0.3396373268,0.3621054858,0.3188788229,0.5043072338,0.4883884121,0.4963588939,0.5055021758,0.4248416787,0.3790803565,0.4258674003,0.3252923014,0.4615625764,0.4648959243,0.3357646877,0.4788474159,0.2591791044,0.4711341147,0.4953125186,0.4526289725,0.4616500661,0.515435371057853,0.5035218755269335
sim_eipo-modular_size-200_knockout_exp,0.3594834963,0.3625690141,0.32724716,0.5257559987,0.5245207471,0.5322703165,0.5285134356,0.4386351668,0.3726676903,0.4329109345,0.3234450105,0.4741643753,0.4832294756,0.3451794505,0.4927197891,0.2591791044,0.4834249698,0.5104961494,0.4622102408,0.4690994886,0.5428059552495295,0.5308814355553825
sim_eipo-modular_size-200_overexpression_exp,0.3344799494,0.3886526211,0.3114630723,0.5094179765,0.519330315,0.5132378365,0.5056477497,0.438704615,0.3772344115,0.4074560049,0.3076916062,0.469080594,0.4704562178,0.3303346211,0.4997722447,0.2591791044,0.4895245851,0.5263419403,0.4806138922,0.483154741,0.5448320000155635,0.5271103845678174
sim_scale-free_size-200_knockdown_exp,0.2983983596,0.3257543829,0.2875890248,0.4037224755,0.3892514248,0.3951561951,0.4056934262,0.3310671653,0.317168248,0.3648062859,0.2917052018,0.3878772786,0.3903291278,0.3015241855,0.3861317363,0.2599751243,0.362693388,0.2935207571,0.3590051415,0.3729531726,0.416602530948775,0.4021626200510969
sim_scale-free_size-200_knockout_exp,0.3077569293,0.322219184,0.2990186144,0.3868246534,0.3791411535,0.3812860825,0.3954082125,0.3480408891,0.3363320664,0.3431401761,0.2893203893,0.3694864986,0.3847631168,0.3018785303,0.3635279703,0.2599751243,0.3856893632,0.2975384774,0.3922336255,0.3510177188,0.4173368070899373,0.3924622486024111
sim_scale-free_size-200_overexpression_exp,0.3012417713,0.3257188747,0.290967791,0.4071784602,0.3793094334,0.389888551,0.393640536,0.3299833692,0.3202387231,0.3664612834,0.2832306332,0.3906838135,0.3946950255,0.2932197608,0.3798945565,0.2599751243,0.3742731954,0.3088156111,0.3768732463,0.3757580405,0.4166585008445485,0.3811480435783823
sim_TFLink_Drosophila_melanogaster_mixed_exp,0.4450220518,0.3228400865,0.4006090572,0.4922296741,0.4244197003,0.4311218879,0.4222716062,0.4428658964,0.3066525955,0.364318911,0.2939350623,0.5011453486,0.5048352577,0.3059213292,0.4795025106,0.2550875355,0.385863323,0.3759982331,0.3896426611,0.4987565419,0.479512701913837,0.467712427685151
