D4_100_1,ARACNE,BC3NET,C3NET,CLR,CMI2NI,GENIE3_ET,GENIE3_RF,GRNBOOST2,GRNVBEM,INFERELATOR,KBOOST,LEAP,LOCPCACMI,MEOMI,MRNETB,MRNET,NARROMI,NONLINEARODES,PCACMI,PCIT,PIDC,PLSNET,PUC,RSNET,TIGRESS,BEST_GENECI,MEDIAN_GENECI
D4_100_1,0.2942545626,0.2977445624,0.2817785364,0.3721518174,0.3952471174,0.4214237882,0.4106754221,0.4152880033,0.470985379,0.3277697459,0.329776415,0.3488863391,0.3936780801,0.2698249363,0.3658770211,0.3608217573,0.3212453832,0.3100768264,0.2692795714,0.3393242863,0.4085560935,0.3431016234,0.4092174867,0.3461720561,0.3406031061,0.468239263542888,0.4257262699625424
D4_100_2,0.2932349577,0.2813926361,0.2779705619,0.3434680686,0.3287813527,0.3628303957,0.3774552347,0.3829332755,0.3502322439,0.2970025536,0.2832191259,0.2896851668,0.3236859318,0.2621435807,0.3486355295,0.3452541633,0.2905532467,0.2848486626,0.2485616393,0.3067448351,0.3483397565,0.282741104,0.3530903928,0.3159857002,0.3137516349,0.3761617749646602,0.3667430620763161
D4_100_3,0.3131250398,0.3259333967,0.3093071636,0.4057383678,0.3913047666,0.4206237948,0.4300488309,0.4016356147,0.4127711412,0.3459970874,0.3151858128,0.3578572023,0.3906481655,0.270161795,0.4122682209,0.4072599801,0.3370631239,0.3161317566,0.2546251236,0.3582982098,0.3906680572,0.3097346361,0.3915671585,0.367507877,0.3447105453,0.4206465392620594,0.4162288612285445
D4_100_4,0.2971708083,0.3068352884,0.289158599,0.3637350953,0.3561264746,0.3892061301,0.3907573545,0.3840896365,0.4192542488,0.3334879282,0.2806928531,0.3455946133,0.3584640323,0.2664302203,0.3635461936,0.3594932068,0.320014203,0.3017508803,0.2570351205,0.3380268442,0.36035283,0.3256760596,0.3560363899,0.3346427773,0.3312070493,0.3819244443528039,0.3743266006987185
D4_100_5,0.3210008,0.3242432969,0.3098218871,0.3766032119,0.3765457754,0.4205607592,0.4288192329,0.4208780526,0.4022451781,0.3409418477,0.2792075933,0.3278186168,0.3795164148,0.2663627154,0.3768361141,0.3798020831,0.3373123761,0.3185363888,0.2579362969,0.3616532444,0.3889513952,0.3176421918,0.3833262613,0.3465161081,0.3381484143,0.425729035869641,0.4047272204571804
D3_100_Ecoli1,0.287457723,0.2831013537,0.2823022459,0.3450219508,0.3451293105,0.3493202856,0.3584991321,0.3380062944,0.3317221343,0.3069061438,0.2564236644,0.3313266962,0.334311942,0.261754329,0.3377255154,0.3336033286,0.3116575465,0.2458509318,0.2305971217,0.3103834358,0.3231565928,0.2755208962,0.3220774937,0.3505341366,0.3254988463,0.349088260631547,0.341946394406621
D3_100_Ecoli2,0.2754961185,0.2730321189,0.2679654772,0.3088391992,0.3090070146,0.3094244912,0.3220129101,0.3080156179,0.3115083957,0.2854037778,0.2596037995,0.2974595598,0.2990936888,0.2557400998,0.3140130286,0.3115176883,0.2934761257,0.2717028623,0.2007417698,0.3060594449,0.3065409689,0.260693274,0.3134302708,0.3038221046,0.2947720005,0.3184756771341709,0.3085569147979647
D3_100_Yeast1,0.2931130592,0.2729294091,0.2747520078,0.3012554343,0.2645799919,0.3426223474,0.3516400331,0.3523233433,0.3244247329,0.3123652213,0.2563818283,0.2777405398,0.2723630175,0.2640710446,0.2917650757,0.2912566418,0.2802941638,0.2613248845,0.2443124717,0.2700850437,0.3257498165,0.2978717756,0.3274257234,0.2615346834,0.2660988458,0.3211036033067009,0.3071193508456569
D3_100_Yeast2,0.2872810019,0.2804214413,0.2836217799,0.2883502824,0.2605852034,0.2942501535,0.3069941261,0.3022609032,0.30902597,0.2942199742,0.2540465557,0.2553362284,0.2522305531,0.270311051,0.2798861961,0.2815274,0.2831121233,0.2882319205,0.2563614935,0.2670638586,0.2980894457,0.2954627339,0.2955553962,0.2680564425,0.2778708617,0.2969730287255144,0.2877847804525582
D3_100_Yeast3,0.2882977734,0.2809145979,0.2872913952,0.2988304685,0.2763058021,0.2928801895,0.2967328115,0.3000115089,0.29583372,0.287913776,0.2618358692,0.2784896871,0.2752341354,0.280242518,0.2951838943,0.2977416602,0.2893887681,0.2324836185,0.2692151219,0.2824030546,0.2955427728,0.3067758022,0.2961934146,0.2835554931,0.2708785435,0.2948086461180589,0.2867202624314213
D3_50_Ecoli1,0.2566670952,0.2693309803,0.2673573119,0.3082669458,0.3021567519,0.2738306521,0.2953645657,0.2648947609,0.3026419825,0.2667748954,0.2868085481,0.3030750966,0.3071747093,0.2470952393,0.3204695169,0.3066238741,0.2606501988,0.2531464969,0.2211110561,0.3083790933,0.2472618797,0.2395087163,0.2429452463,0.2766322818,0.3044812036,0.2942195987339132,0.2846691348940859
D3_50_Ecoli2,0.2907434802,0.2821898298,0.2800252384,0.343771628,0.351024715,0.3562769999,0.3554323864,0.3558690955,0.3165997449,0.309875734,0.2829234902,0.3273626563,0.325311459,0.2581001879,0.3485702911,0.3397167057,0.2967507932,0.287123136,0.2225153694,0.3315011957,0.3118802933,0.2524599711,0.3274805877,0.3238493494,0.2017547562,0.3546795394488871,0.3519516231132703
D3_50_Yeast1,0.2937221127,0.2939241761,0.2935253837,0.2952455353,0.2753413865,0.2956413158,0.3212345581,0.3172655939,0.3677016664,0.3135267958,0.2487732383,0.3105331995,0.2918748918,0.2690438168,0.3012134097,0.2957757,0.2843282906,0.2709425451,0.2295895228,0.3111908438,0.3203398211,0.3074116856,0.3110195011,0.2808242587,0.2923332596,0.3335845241715514,0.317691604825443
D3_50_Yeast2,0.3006847732,0.2921706999,0.2981085498,0.3053025116,0.290915229,0.3302906941,0.3359688471,0.3340231977,0.3078047915,0.3206317248,0.266385297,0.3000550442,0.2968921309,0.2786902416,0.3055936043,0.3084392837,0.3042469005,0.2776074598,0.2633758619,0.2817044591,0.3304707572,0.2994179973,0.3325819862,0.3125083085,0.3363987145,0.333829849662753,0.3245845347950984
D3_50_Yeast3,0.3085124174,0.3063938817,0.3056250201,0.3252428705,0.3138627396,0.3358476697,0.3376836938,0.350534732,0.3018221844,0.313204913,0.2952822501,0.3299970715,0.3288727355,0.280819033,0.3249460611,0.3228166198,0.2968191182,0.2976312026,0.2771154475,0.3116464773,0.3184570819,0.2940906789,0.311143393,0.319028845,0.3421396937,0.3320614054276637,0.3249944365846862
sim_BioGrid_Chlorocebus_sabaeus_mixed_exp,0.5995542295,0.6386400389,0.5246304146,0.6367354883,0.6404292344,0.5617461969,0.5228296497,0.4407183105,0.2719927991,0.6361015638,0.4773338161,0.3840617818,0.6412632265,0.2648066172,0.6077975655,0.6170883083,0.335667636,0.3385169002,0.6408067639,0.2581823495,0.4313925868,0.4415066149,0.4258846582,0.6342337417,0.6586873334,0.661109924188023,0.5321855123691596
sim_BioGrid_Cricetulus_griseus_mixed_exp,0.4215669316,0.449970918,0.3985611289,0.5605421152,0.462397769,0.532242632,0.5371015253,0.4634055695,0.2514977448,0.4286239182,0.2977948049,0.3417853388,0.4752703677,0.2600856769,0.5249777174,0.5219085906,0.3519840724,0.3429876737,0.4780974767,0.2544955044,0.4415261823,0.3165348651,0.4454789982,0.4859202444,0.5203718799,0.5160641032636695,0.496086845799207
sim_BioGrid_Emericella_nidulans_FGSC_A4_mixed_exp,0.3951850928,0.5146389391,0.3812963673,0.5144514211,0.587177135,0.5272887391,0.5100335854,0.4154247803,0.2095259242,0.4315959653,0.3005492006,0.4122116776,0.5610411876,0.2587549063,0.507659002,0.5019255613,0.4224990707,0.3142333472,0.5716321328,0.25625,0.3587615462,0.2718506211,0.3630688633,0.5798385916,0.5916145038,0.587279269931709,0.55852082696847
sim_BioGrid_Glycine_max_mixed_exp,0.417189685,0.4365905752,0.3405969187,0.4282889847,0.4511061079,0.3683252741,0.3641052876,0.3584162588,0.3254945877,0.4553968982,0.3437155449,0.3601869012,0.4647132936,0.3151636046,0.4354433164,0.4262157454,0.3918984806,0.2370748175,0.446137779,0.2553140096,0.3390591957,0.3844832775,0.3319984166,0.4903266849,0.4499025643,0.487600671839876,0.434497987953467
sim_BioGrid_Human_Immunodeficiency_Virus_2_mixed_exp,0.3552961023,0.4245552782,0.3647497087,0.4178354871,0.4245812885,0.4767875329,0.4588076803,0.4308867909,0.2101219254,0.4641279078,0.3784215597,0.374434815,0.3890625332,0.2358301144,0.3796022546,0.3817032612,0.358564512,0.4224960539,0.4266144135,0.2517361111,0.4845220035,0.5370973469,0.5300517199,0.4214158944,0.4760364114,0.5772087711142846,0.4451760726371254
sim_BioGrid_Neurospora_crassa_OR74A_mixed_exp,0.459092497,0.4178122777,0.4148170784,0.4435920751,0.4295836519,0.2874259005,0.3994533352,0.3346603318,0.2352574804,0.3798102754,0.416635815,0.3501953425,0.4109052328,0.2841674631,0.4299206475,0.4184551075,0.4812203545,0.2918022042,0.4209966317,0.2579365079,0.3618661454,0.4128123,0.3773437815,0.4747769899,0.4677363168,0.4641583364045459,0.440621381445726
sim_eipo-modular_size-100_knockdown_exp,0.3526796038,0.3988534638,0.3276850658,0.5250074276,0.5220141947,0.5462209315,0.5456984922,0.530606826,0.2671113324,0.4334855643,0.4233819557,0.4813087064,0.5334889021,0.3245821307,0.5059909691,0.5004891994,0.3825125451,0.355611354,0.5211896314,0.2674257425,0.4662105213,0.4660148377,0.4742287634,0.4377933438,0.5269829053,0.5555941935688345,0.539616489353794
sim_eipo-modular_size-100_knockout_exp,0.358926838,0.4024343659,0.3453966772,0.5265599668,0.508744679,0.5378391336,0.5474828531,0.5325932862,0.2737512049,0.4169882496,0.3932561612,0.4454307634,0.5114455433,0.3317349773,0.528723091,0.5163355145,0.3365400188,0.3408441769,0.4893901571,0.2674257425,0.4700264767,0.4753676558,0.4802321193,0.4608402036,0.5277534023,0.5605045339658425,0.55534918078059
sim_eipo-modular_size-100_overexpression_exp,0.3676255673,0.4071611061,0.3457590827,0.5185864132,0.5124062434,0.5391056819,0.5381650628,0.5325650419,0.266901333,0.4192965172,0.4031914295,0.4503309146,0.516601076,0.3180145174,0.5032519033,0.4970363403,0.3677145535,0.3721659459,0.5014838584,0.2674257425,0.451769855,0.4548409859,0.467799032,0.4816822242,0.5412091857,0.553122972391314,0.5467832535792075
sim_eipo-modular_size-50_knockdown_exp,0.3686187731,0.4168897546,0.3715584286,0.4553166411,0.429390727,0.487857562,0.4778015228,0.4421411558,0.3077475277,0.4469463463,0.3841885185,0.4196617005,0.4611430388,0.3168379849,0.4384301384,0.4399132755,0.328954908,0.3585460618,0.4321964103,0.29,0.4012275436,0.3761948753,0.4189323441,0.3450512669,0.4788883438,0.4702599947693435,0.458844237730077
