gnw1565_exp,ARACNE,BC3NET,C3NET,CLR,KBOOST,LEAP,MRNETB,MRNET,NARROMI,PCIT,PIDC,PUC,RSNET,BEST_GENECI,MEDIAN_GENECI
gnw1565_exp,0.5328360948,0.4485587991,0.4652748451,0.576591359,0.5221518726,0.380866898,0.4932385674,0.5840014696,0.3325993576,0.2514819711,0.4671669723,0.5169587909,0.4543282283,0.5776165332541024,0.4814460922672435
rogers1000_exp,0.5227479664,0.7505661809,0.3942088513,0.5728582668,0.286800285,0.3766743705,0.5732764624,0.5726525153,0.3855516928,0.2506693306,0.5241625101,0.5213138666,0.7476805755,0.7082479757794525,0.6532190700550635
sim_BioGrid_Bos_taurus_mixed_exp,0.5830763728,0.5271166527,0.5470282666,0.6366731691,0.3833908676,0.4095001786,0.5847516752,0.6114499869,0.3236393449,0.2508681238,0.5475570789,0.5402755948,0.5945836622,0.630161092245134,0.621377130155985
sim_BioGrid_Danio_rerio_mixed_exp,0.4567094151,0.491116938,0.4242745358,0.5696465987,0.3456591682,0.3380854891,0.4330626034,0.4577695194,0.3191610812,0.2505757507,0.4800205978,0.4339046402,0.4254341786,0.573922739649413,0.491154369610285
sim_BioGrid_Gallus_gallus_mixed_exp,0.4700036777,0.3991479621,0.4408214546,0.5047155201,0.2547693126,0.3775605448,0.4587357212,0.4897770691,0.3230187393,0.2513278609,0.4378066619,0.4419600516,0.469534875,0.5139060212997765,0.479083547501637
sim_BioGrid_Human_Herpesvirus_4_mixed_exp,0.3855632327,0.3121839721,0.3772186458,0.375903563,0.2035821428,0.2742818008,0.3661082953,0.3822811535,0.2593220597,0.2515423333,0.3540232546,0.3633819275,0.3692136281,0.4024758733282665,0.364413603139637
sim_BioGrid_Human_Herpesvirus_8_mixed_exp,0.5166395249,0.3767494947,0.5099314373,0.5417823856,0.2609273364,0.3604641056,0.4652332471,0.5127076347,0.3197040613,0.2507305266,0.4701703001,0.4669336535,0.4735674325,0.5509649404410469,0.5140449586438145
sim_BioGrid_Human_papillomavirus_16_mixed_exp,0.3958516965,0.2609176508,0.3878795789,0.3469720217,0.1874362251,0.320736422,0.3521942455,0.3950053532,0.3037984646,0.2516896805,0.3117075432,0.3256638074,0.351243763,0.3608547886639546,0.3344265780641976
sim_BioGrid_Human_papillomavirus_6b_mixed_exp,0.3816919781,0.2892537114,0.3811211781,0.4286584224,0.2253610145,0.3880107643,0.4173030149,0.4598654185,0.3891406659,0.2516955574,0.377471127,0.4160775039,0.4326752865,0.462270653343669,0.4387127043496578
sim_BioGrid_Macaca_mulatta_mixed_exp,0.2588849945,0.2660636219,0.2548152514,0.260018087,0.2381458298,0.254130685,0.2590271537,0.2592761569,0.2556800361,0.2529420417,0.2568736263,0.2605919893,0.2935519781,0.2919625574084881,0.270533164522288
sim_BioGrid_Middle-East_Respiratory_Syndrome-related_Coronavirus_mixed_exp,0.6621327919,0.6769172781,0.6304075914,0.6592554702,0.3020760969,0.2621186565,0.5742186223,0.6502608589,0.261460976,0.2508144178,0.4049816259,0.4325617366,0.5815336707,0.698034346878095,0.671357348850215
