"","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104"
"G1",0.6665114,0.3257748,0.1775012,0.1838851,0.0930693,0.0653015,0.1502136,0.0913323,0.1358562,0.1667014,0.1170103,0.4708819,0.5545089,0.5717737,0.6437458,0.6988616,0.6002293,0.751684,0.705819,0.6863142,0.6785873,0.6927804,0.6137,0.5923916,0.5868361,0.6293309,0.5170203,0.4709636,0.6269998,0.5284701,0.5110939,0.4882966,0.6433641,0.6171846,0.8024419,0.7804539,0.8290307,0.7490433,0.5887312,0.6694072,0.7164183,0.8032117,0.7025546,0.2670111,0.1495577,0.1258573,0.1503708,0.1147272,0.1136885,0.1074903,0.0916218,0.070437,0.1084545,0.4934324,0.6485525,0.7971715,0.5833888,0.7644667,0.7656012,0.6111505,0.6721184,0.6289104,0.7712319,0.7291507,0.5109302,0.6097374,0.7059362,0.779146,0.7512179,0.6662777,0.6446435,0.7309197,0.7241511,0.6861697,0.6640881,0.637497,0.7156959,0.6367377,0.6861329,0.7440202,0.8967149,0.756436,0.679297,0.6020569,0.7147163,0.6338617,0.6247811,0.719644,0.709418,0.6711232,0.5962738,0.6805381,0.7371512,0.6819273,0.7104574,0.7680006,0.801327,0.5906615,0.7513218,0.7609359,0.7104486,0.6785809,0.5603117,0.609001,0.6467795
"G2",0.1272186,0.1218223,0.0443587,0.0615354,0.1398431,0.0886361,0.094808,0.090451,0.1182462,0.0765614,0.075504,0.093721,0.1443166,0.1580246,0.0906398,0.0959292,0.1251139,0.0985328,0.0823597,0.113119,0.0780578,0.1735119,0.0954328,0.0704157,0.0880437,0.1149911,0.0990501,0.1159865,0.080276,0.1042932,0.1482319,0.1153365,0.1181288,0.1228048,0.0804874,0.0871222,0.0996338,0.0988457,0.0482351,0.107808,0.0819181,0.119864,0.0965407,0.0066399,0.0002031,7.26e-05,0.0007181,0.0010901,0.0006993,0.0006402,2.16e-05,0.0001071,2.43e-05,0.1669844,0.1396843,0.0786818,0.0780344,0.1123633,0.1890966,0.1077332,0.1118654,0.1164068,0.0879682,0.1646974,0.1803674,0.1875477,0.2070564,0.2695352,0.3182197,0.2300156,0.2564993,0.2767497,0.2384708,0.2557487,0.1897509,0.1523764,0.1338911,0.1458993,0.1471605,0.1238498,0.0662469,0.0664624,0.0715481,0.0930319,0.0789012,0.1135145,0.0807247,0.0561945,0.0723323,0.0573258,0.1384099,0.119761,0.1229227,0.089656,0.099547,0.1356463,0.0697471,0.1193078,0.1188755,0.0562414,0.1250612,0.1409962,0.1388405,0.0941102,0.1153804
"G3",0.3550646,0.3464115,0.5712888,0.4849771,0.3435551,0.3124305,0.4126412,0.3764574,0.5188737,0.3768678,0.4322347,0.3453156,0.4763379,0.352766,0.3817925,0.4025808,0.3520098,0.4541817,0.4254553,0.3168437,0.3340166,0.3080785,0.2815777,0.2896261,0.1935983,0.2186433,0.2137598,0.289219,0.2997476,0.2573068,0.2196169,0.3025012,0.3245931,0.3060205,0.398727,0.3594883,0.4407318,0.3369789,0.4387776,0.3228902,0.2685038,0.3146458,0.4955336,0.4120065,0.3162661,0.3444491,0.360118,0.2514869,0.4130228,0.5144453,0.3046374,0.4381759,0.4247121,0.3493963,0.2905074,0.4188026,0.4350727,0.3151357,0.3121278,0.463363,0.3130161,0.333095,0.3590816,0.5393216,0.3894485,0.2565762,0.1696391,0.2447503,0.1712229,0.2081826,0.2921507,0.1989521,0.2291561,0.2398097,0.2068039,0.3196045,0.406865,0.4325222,0.4342745,0.438485,0.4268514,0.4127351,0.3728141,0.3585051,0.4215624,0.2933042,0.3235387,0.3469269,0.4130727,0.2922907,0.2427562,0.1998363,0.2400097,0.2428435,0.2636132,0.1216754,0.1284694,0.3661953,0.3591009,0.48233,0.3442142,0.230909,0.2433752,0.307848,0.393153
"G4",0.7745716,0.7229108,0.586828,0.6338205,0.5354375,0.5255509,0.4599706,0.4214017,0.5030134,0.4831358,0.5403027,0.618386,0.6233838,0.6429242,0.7448212,0.6477586,0.7884273,0.7086632,0.700968,0.6602306,0.6695402,0.5990709,0.6576991,0.6349119,0.5846269,0.4509727,0.4333604,0.3898388,0.4384157,0.3779466,0.3494604,0.4211469,0.4513658,0.6388667,0.6134333,0.6801495,0.6614428,0.6225854,0.7599636,0.5764897,0.7964334,0.6352872,0.6290043,0.633102,0.6388113,0.5332911,0.4870183,0.3816565,0.402796,0.4555527,0.4184513,0.4398207,0.40814,0.4666379,0.5659879,0.5786856,0.6022758,0.6865068,0.6589912,0.6910229,0.6404274,0.6113299,0.6687344,0.7087402,0.6874071,0.5980135,0.4758323,0.3854643,0.449231,0.3920308,0.3937747,0.5795062,0.3893692,0.289556,0.44754,0.5663255,0.6595041,0.6690486,0.5726726,0.743286,0.5678651,0.688654,0.5188151,0.8028182,0.6301302,0.649465,0.5906159,0.4836713,0.6042179,0.3472931,0.3764952,0.4628633,0.4117866,0.3639826,0.4690353,0.3653458,0.3960368,0.5868999,0.6718697,0.774945,0.6708727,0.8145937,0.7641729,0.6707907,0.7689856
"G5",0.1004299,0.1924591,0.2333497,0.40451,0.5583316,0.6429076,0.5350145,0.5641511,0.6718907,0.6740419,0.7354699,0.485255,0.3257959,0.2634359,0.1906673,0.1278089,0.1340147,0.1391781,0.0960015,0.1389801,0.1181666,0.1445523,0.2136285,0.2556762,0.1315485,0.1687147,0.1772348,0.2365102,0.2065817,0.1484264,0.1235777,0.2365731,0.2487479,0.1447856,0.1544187,0.1578423,0.0912002,0.1013723,0.1361985,0.168397,0.1180917,0.1803657,0.1394119,0.1601289,0.3527526,0.5828865,0.6474004,0.5962019,0.7206053,0.6110892,0.7049432,0.6032927,0.6065379,0.6220579,0.3116094,0.3052366,0.1586621,0.1446601,0.101536,0.2198009,0.14834,0.1128817,0.1406588,0.1237001,0.1012508,0.1486603,0.1471183,0.1409376,0.0985869,0.1500982,0.1285197,0.1167303,0.1496491,0.1109189,0.1082641,0.1010354,0.1013164,0.1462886,0.1460243,0.1294852,0.0999712,0.1245277,0.0947804,0.1239435,0.0850342,0.0442124,0.026979,0.0273254,0.0469687,0.0250493,0.0333171,0.0494189,0.0284715,0.0321371,0.021169,0.0860904,0.0941271,0.1353537,0.0890263,0.0909344,0.0789572,0.1246992,0.1091451,0.1401569,0.1560013
"G6",0.275493,0.3107637,0.3569736,0.3375671,0.2994227,0.3676576,0.2992928,0.3430145,0.2333228,0.3815948,0.3344889,0.358515,0.3239021,0.2928635,0.304971,0.2934906,0.3429125,0.3146772,0.330916,0.3386791,0.2846131,0.2494241,0.3952169,0.3336192,0.3849495,0.3736593,0.3834565,0.4000143,0.3912156,0.2349554,0.4213528,0.4517705,0.307568,0.382343,0.3415498,0.3402294,0.3014502,0.3563181,0.3467893,0.3105481,0.2960746,0.2432311,0.2777284,0.3160889,0.4121452,0.4561672,0.5160537,0.5849437,0.6962295,0.6188064,0.634079,0.4893698,0.5912179,0.5662445,0.4739788,0.3214644,0.3322274,0.3789285,0.3403691,0.3956457,0.3303212,0.3811676,0.3700837,0.2432843,0.4088945,0.4252275,0.4733397,0.5552323,0.427473,0.5281481,0.5760348,0.5195734,0.4616732,0.4998435,0.4044676,0.4860355,0.4614339,0.3561251,0.3473546,0.2765572,0.344726,0.3897331,0.2650917,0.3540091,0.3092021,0.3514063,0.3053646,0.3056355,0.3537859,0.3008098,0.3098801,0.3432863,0.2891713,0.311225,0.3785478,0.2640264,0.3445713,0.3458663,0.3166416,0.3007214,0.3250779,0.4497987,0.2465951,0.2454982,0.3958538
"G7",0.6067846,0.6096963,0.4647324,0.4200074,0.4145393,0.5788573,0.5993621,0.6775364,0.5142803,0.499568,0.5091151,0.4479249,0.4196698,0.4524902,0.6356541,0.5680143,0.5652458,0.3950302,0.4627621,0.5903798,0.593867,0.5905584,0.2199619,0.1706594,0.1213159,0.0786808,0.1242939,0.1323223,0.0792747,0.1492018,0.1158488,0.1350158,0.6042338,0.6519328,0.6791125,0.5099839,0.5312501,0.3978822,0.3892781,0.4222378,0.5092373,0.5376463,0.5852446,0.3879914,0.5371867,0.5854555,0.4715633,0.5616858,0.5828932,0.5699641,0.5705248,0.5182417,0.5254869,0.4837116,0.5869444,0.5316969,0.4560579,0.3600829,0.54599,0.4768284,0.4367724,0.4847003,0.5258812,0.3970339,0.1468781,0.0264118,0.0259651,0.0067659,0.0094517,0.0019713,0.011426,0.0138563,0.0025197,0.007007,0.5668736,0.597794,0.6950467,0.5087046,0.4667717,0.5446558,0.4650374,0.4798852,0.4785983,0.3951515,0.4516194,0.2277307,0.1633944,0.1746293,0.1830969,0.1575486,0.2135964,0.1974683,0.2231497,0.1698966,0.1877961,0.570452,0.6164915,0.56178,0.6509316,0.6655727,0.332873,0.4102492,0.5112388,0.5826744,0.6863531
"G8",0.7430983,0.7567515,0.6656993,0.7324089,0.6771472,0.8026375,0.6181808,0.5235399,0.6087675,0.5959077,0.7152812,0.7052075,0.72992,0.7210641,0.6836201,0.7435989,0.6701132,0.6562918,0.661009,0.6151949,0.6823825,0.636797,0.5711943,0.7645988,0.7072442,0.6970827,0.7901656,0.6791003,0.6322451,0.792832,0.674044,0.6484841,0.7092563,0.8569027,0.7222545,0.7069292,0.6374457,0.6009584,0.6715002,0.7085699,0.7121105,0.6763547,0.6987308,0.3125419,0.2207124,0.164159,0.1138825,0.0875836,0.1047608,0.1494655,0.1345381,0.1445357,0.1195,0.5461221,0.6502586,0.7105375,0.678798,0.6422636,0.8619677,0.6286063,0.7552463,0.7976182,0.7604233,0.7599215,0.3528068,0.3565534,0.2819844,0.1862479,0.2538905,0.2450673,0.1746718,0.2548303,0.1916132,0.1959993,0.6426656,0.7231546,0.7188045,0.6382091,0.6700589,0.7585209,0.7023964,0.6957703,0.7806962,0.7849719,0.6951692,0.7833732,0.8113616,0.8313165,0.6419759,0.7444961,0.8112381,0.7483208,0.7271195,0.7200156,0.5456798,0.6508609,0.8255316,0.7139359,0.6390672,0.62152,0.5702048,0.5818118,0.6467664,0.57984,0.7454198
"G9",0.6656366,0.5554138,0.7211032,0.6402268,0.5478739,0.5983088,0.7288696,0.7736935,0.6843619,0.7486546,0.6725776,0.7919255,0.5791635,0.6633159,0.8094115,0.6819686,0.7548764,0.6583495,0.6866225,0.700166,0.7702145,0.6891143,0.684341,0.6408686,0.8166294,0.803821,0.7563581,0.7090849,0.664113,0.7596715,0.7145425,0.7176833,0.6728155,0.8328277,0.6930467,0.6455296,0.6898205,0.7440107,0.653354,0.6421272,0.6454818,0.6253106,0.7189792,0.8405381,0.7847303,0.686476,0.7514894,0.7451011,0.7346484,0.7260995,0.7072688,0.7245269,0.7796607,0.7879295,0.654988,0.6432834,0.6150558,0.7599346,0.8074774,0.6190746,0.7121735,0.7135124,0.7878045,0.6285854,0.4169359,0.4086711,0.3558222,0.4058957,0.3565842,0.2789396,0.2805749,0.3775839,0.3453198,0.3096857,0.6214781,0.6409856,0.6558541,0.7491581,0.7790399,0.6396986,0.6389196,0.7970938,0.5806831,0.7304382,0.8362663,0.3862019,0.1997879,0.1924133,0.0529535,0.1137219,0.0377755,0.0897643,0.0679836,0.0699389,0.0821805,0.5045298,0.648607,0.7214906,0.6535027,0.7400781,0.5766519,0.727876,0.8139243,0.7054992,0.6372677
"G10",0.6950638,0.7327167,0.6717156,0.6970434,0.7512751,0.6088625,0.6660468,0.7443968,0.836531,0.7173045,0.6325963,0.5868152,0.6029599,0.6927663,0.7286575,0.8213812,0.6814079,0.6836276,0.7453896,0.645072,0.6068127,0.6944974,0.6816443,0.6201303,0.7047542,0.6925731,0.7286596,0.824954,0.7280306,0.7133538,0.7374688,0.6872276,0.6264014,0.6102972,0.6109138,0.7232683,0.5949425,0.7923625,0.7493886,0.6938667,0.6612289,0.5716938,0.6317014,0.7525926,0.6308077,0.6603441,0.7220521,0.9215333,0.6120013,0.7034582,0.7037104,0.6900767,0.7214128,0.7344458,0.6450217,0.7139627,0.7626299,0.7957661,0.7599446,0.6722002,0.6523538,0.7852974,0.6290981,0.6076601,0.7657149,0.8156564,0.7042378,0.6916045,0.7226358,0.8015413,0.7041561,0.7438145,0.7157578,0.6144597,0.5714713,0.6966782,0.7758014,0.7329435,0.7393787,0.668421,0.6975826,0.6599207,0.791336,0.6863379,0.6439763,0.6660204,0.6863509,0.717086,0.5236239,0.2911146,0.2117541,0.1264955,0.0998985,0.1374822,0.100758,0.1422282,0.5994218,0.8022524,0.6646572,0.6733657,0.6451817,0.6745839,0.7195319,0.6785874,0.7405712
