"","perturbation.1.t0","perturbation.1.applied.t50","perturbation.1.applied.t100","perturbation.1.applied.t150","perturbation.1.applied.t200","perturbation.1.applied.t250","perturbation.1.applied.t300","perturbation.1.applied.t350","perturbation.1.applied.t400","perturbation.1.applied.t450","perturbation.1.applied.t500","perturbation.1.removed.t550","perturbation.1.removed.t600","perturbation.1.removed.t650","perturbation.1.removed.t700","perturbation.1.removed.t750","perturbation.1.removed.t800","perturbation.1.removed.t850","perturbation.1.removed.t900","perturbation.1.removed.t950","perturbation.1.removed.t1000","perturbation.2.t0","perturbation.2.applied.t50","perturbation.2.applied.t100","perturbation.2.applied.t150","perturbation.2.applied.t200","perturbation.2.applied.t250","perturbation.2.applied.t300","perturbation.2.applied.t350","perturbation.2.applied.t400","perturbation.2.applied.t450","perturbation.2.applied.t500","perturbation.2.removed.t550","perturbation.2.removed.t600","perturbation.2.removed.t650","perturbation.2.removed.t700","perturbation.2.removed.t750","perturbation.2.removed.t800","perturbation.2.removed.t850","perturbation.2.removed.t900","perturbation.2.removed.t950","perturbation.2.removed.t1000","perturbation.3.t0","perturbation.3.applied.t50","perturbation.3.applied.t100","perturbation.3.applied.t150","perturbation.3.applied.t200","perturbation.3.applied.t250","perturbation.3.applied.t300","perturbation.3.applied.t350","perturbation.3.applied.t400","perturbation.3.applied.t450","perturbation.3.applied.t500","perturbation.3.removed.t550","perturbation.3.removed.t600","perturbation.3.removed.t650","perturbation.3.removed.t700","perturbation.3.removed.t750","perturbation.3.removed.t800","perturbation.3.removed.t850","perturbation.3.removed.t900","perturbation.3.removed.t950","perturbation.3.removed.t1000","perturbation.4.t0","perturbation.4.applied.t50","perturbation.4.applied.t100","perturbation.4.applied.t150","perturbation.4.applied.t200","perturbation.4.applied.t250","perturbation.4.applied.t300","perturbation.4.applied.t350","perturbation.4.applied.t400","perturbation.4.applied.t450","perturbation.4.applied.t500","perturbation.4.removed.t550","perturbation.4.removed.t600","perturbation.4.removed.t650","perturbation.4.removed.t700","perturbation.4.removed.t750","perturbation.4.removed.t800","perturbation.4.removed.t850","perturbation.4.removed.t900","perturbation.4.removed.t950","perturbation.4.removed.t1000","perturbation.5.t0","perturbation.5.applied.t50","perturbation.5.applied.t100","perturbation.5.applied.t150","perturbation.5.applied.t200","perturbation.5.applied.t250","perturbation.5.applied.t300","perturbation.5.applied.t350","perturbation.5.applied.t400","perturbation.5.applied.t450","perturbation.5.applied.t500","perturbation.5.removed.t550","perturbation.5.removed.t600","perturbation.5.removed.t650","perturbation.5.removed.t700","perturbation.5.removed.t750","perturbation.5.removed.t800","perturbation.5.removed.t850","perturbation.5.removed.t900","perturbation.5.removed.t950","perturbation.5.removed.t1000"
"G1",0.5568788,0.5007082,0.312733,0.2382932,0.2216376,0.1911387,0.1876877,0.2244655,0.2225755,0.2463636,0.1622335,0.3137026,0.2621726,0.367681,0.4993344,0.4735518,0.4289648,0.3934894,0.401853,0.4706917,0.470222,0.4151348,0.5281139,0.3467826,0.265212,0.2325836,0.1362952,0.1245063,0.1587573,0.23535,0.3936893,0.4078998,0.4912423,0.5286018,0.4490403,0.6073746,0.4312284,0.4909873,0.4544382,0.4887428,0.4740169,0.5000823,0.4913996,0.4297752,0.2939082,0.2744186,0.1263209,0.0843069,0.1129699,0.3647743,0.2704143,0.3719144,0.3061963,0.3152368,0.5317285,0.490326,0.5657734,0.4503197,0.5377686,0.4813819,0.3890599,0.4560226,0.4415159,0.4078953,0.3577595,0.5531377,0.5092814,0.5864564,0.498666,0.6851216,0.7404243,0.6399301,0.5503516,0.6816826,0.797985,0.7054637,0.5529081,0.4619332,0.4981211,0.5070944,0.4483142,0.5411319,0.5425137,0.6819136,0.4529188,0.3191765,0.2408129,0.178038,0.0559173,0.0439041,0.0251211,0.0186547,0.0376923,0.1113273,0.1322001,0.2990591,0.4551745,0.4808928,0.3515979,0.4868095,0.4839723,0.3922516,0.4084956,0.372351,0.4174644
"G2",0.1973301,0.2041471,0.1749173,0.1840543,0.3557997,0.3810351,0.2831729,0.4274036,0.3983158,0.332727,0.3846006,0.4426475,0.3543982,0.3428779,0.2402609,0.1899832,0.2212891,0.2486218,0.1652638,0.1698679,0.1810093,0.2426412,0.1778012,0.2106228,0.2014438,0.2521113,0.4799127,0.5303283,0.4894392,0.519263,0.3753841,0.2601416,0.2733835,0.2200359,0.165078,0.2147327,0.183024,0.1829535,0.352864,0.3040377,0.1796117,0.2434314,0.2186024,0.1677699,0.2841127,0.2160433,0.3051428,0.477566,0.4718423,0.4842107,0.3450436,0.3358139,0.2481532,0.2642055,0.2548244,0.1964693,0.242624,0.1496878,0.2315992,0.2653887,0.2005018,0.2110559,0.2218596,0.2185342,0.1757856,0.154923,0.209009,0.215498,0.1439892,0.1369804,0.1591517,0.191077,0.1621,0.171913,0.1684443,0.1621664,0.1634749,0.1342342,0.1668163,0.2005844,0.1816097,0.1948401,0.1631917,0.1564015,0.2470749,0.2342905,0.1703767,0.3039248,0.4208334,0.5745513,0.5409222,0.5128028,0.7458682,0.6012423,0.6043122,0.4506295,0.3880499,0.1874548,0.1898988,0.2328724,0.2243898,0.2600132,0.1920631,0.2258812,0.3007012
"G3",0.5808522,0.7565567,0.6533051,0.6853276,0.6507278,0.6255807,0.4043372,0.3025806,0.304199,0.3103866,0.3430636,0.3343763,0.3628664,0.3452737,0.3348866,0.4043743,0.481758,0.6491355,0.6389594,0.6684469,0.66307,0.5905161,0.6638259,0.6521635,0.6615569,0.6333766,0.6200324,0.4347613,0.3768063,0.2624266,0.2870626,0.2731837,0.4822447,0.5713415,0.6206254,0.6692485,0.6871669,0.7381476,0.5371877,0.6307753,0.7095396,0.6775005,0.6538864,0.596652,0.5424731,0.4715707,0.3341686,0.2269453,0.107068,0.0334237,0.021314,0.0603098,0.0616657,0.1178222,0.4483674,0.4250924,0.6775103,0.7301661,0.7229181,0.8309295,0.6328837,0.7732959,0.568279,0.7063299,0.5642894,0.6525948,0.3688447,0.3132494,0.2277368,0.223282,0.3089136,0.412405,0.3578462,0.2433661,0.3180639,0.4950608,0.4531738,0.780616,0.7419319,0.6627133,0.7609853,0.5844153,0.6459106,0.6805011,0.8303511,0.6908827,0.6240849,0.7077233,0.4967928,0.367513,0.3042809,0.326374,0.2884501,0.3081785,0.2605071,0.2361399,0.2503408,0.3168531,0.4391767,0.5093516,0.6396115,0.645663,0.8074687,0.5256759,0.5692324
"G4",0.1695934,0.2222128,0.1877717,0.1907228,0.1797856,0.189662,0.1881315,0.1834697,0.206353,0.274958,0.2550671,0.1784419,0.3027507,0.2045224,0.2352383,0.2645962,0.2767962,0.1541504,0.1481184,0.1797866,0.1372357,0.1807197,0.0611375,0.052134,0.0320968,0.0136031,0.0116919,0.0095078,0.0373973,0.0506532,0.0762872,0.0957119,0.1978531,0.1986323,0.1818616,0.150494,0.162957,0.2613967,0.1606453,0.2282703,0.2521159,0.179505,0.1526989,0.0416342,0.0459027,0.0185993,0.0125383,0.0106738,0.0480629,0.1434236,0.1896715,0.1538614,0.161605,0.3239842,0.347876,0.2990039,0.2706779,0.2133087,0.1929508,0.1626696,0.1704934,0.1492258,0.1799927,0.1863636,0.1761359,0.1716281,0.1903398,0.2086369,0.2324963,0.2020476,0.2563368,0.225195,0.2133208,0.2463323,0.2444862,0.1600044,0.282895,0.1798195,0.237193,0.1829414,0.1012029,0.1839918,0.1322311,0.1569644,0.2197697,0.0821645,0.0327824,0.0182201,0.0070298,0.0325388,0.0088394,0.0473812,0.0403934,0.0979551,0.0345343,0.2142348,0.2683611,0.3269927,0.2300725,0.2483343,0.1164075,0.1617238,0.1448646,0.167865,0.190347
"G5",0.531392,0.6560918,0.6870135,0.5947335,0.735777,0.6146096,0.757048,0.6495655,0.5965857,0.6857454,0.7479303,0.7604452,0.8575825,0.6639521,0.6829017,0.6414847,0.7403943,0.7847431,0.6945364,0.6997535,0.5810575,0.6462534,0.4351952,0.2948744,0.3218315,0.2593776,0.2010866,0.2790267,0.1377808,0.2044003,0.1982441,0.2190863,0.6018403,0.6504698,0.6510893,0.6015151,0.8109014,0.4959364,0.6393336,0.6016739,0.6393798,0.6268072,0.6485774,0.6039504,0.7568456,0.6648747,0.9438756,0.7348969,0.8071228,0.5844739,0.6943054,0.634376,0.7137759,0.6176897,0.7504321,0.6274519,0.6477081,0.7986493,0.6775026,0.6744717,0.7603578,0.8100552,0.6607936,0.6499406,0.5798168,0.5519256,0.489205,0.4726004,0.5172881,0.4476192,0.5757848,0.5196877,0.6143257,0.5160031,0.581385,0.695904,0.6906824,0.7606458,0.7223653,0.7311406,0.630713,0.8005798,0.7989958,0.7266528,0.8022241,0.6672122,0.7021169,0.6451238,0.7694652,0.7941186,0.7711948,0.6859046,0.694522,0.6831531,0.6699017,0.6113168,0.7587702,0.5740633,0.6549008,0.7483145,0.8313,0.6900818,0.6979674,0.6670504,0.727329
"G6",0.6234423,0.6782639,0.705355,0.6390386,0.6087151,0.731615,0.6513437,0.6247004,0.6368261,0.6369196,0.6921072,0.5917012,0.9118947,0.7271628,0.7069216,0.7882426,0.7256734,0.7589715,0.8041784,0.7231471,0.6728514,0.8137043,0.6767686,0.6623439,0.8072659,0.7100938,0.7019782,0.7582201,0.6249998,0.7109034,0.6715697,0.6061802,0.609175,0.6440218,0.7397037,0.6185968,0.7072068,0.5809141,0.7483261,0.7792931,0.7375304,0.7133249,0.6781371,0.6077658,0.6931408,0.7206552,0.5733686,0.6532356,0.7197277,0.6232546,0.614285,0.6307064,0.6872229,0.6434028,0.6552486,0.8249595,0.7360037,0.7627743,0.6013558,0.6589181,0.7650164,0.6814766,0.7993019,0.6578917,0.8335105,0.7744013,0.7239408,0.6879765,0.6165494,0.6275918,0.5844128,0.5712541,0.5409844,0.5323649,0.5149592,0.6911988,0.6894662,0.6954214,0.7462199,0.6965763,0.5975349,0.6847374,0.7476753,0.6919485,0.7625045,0.6137609,0.6351839,0.771675,0.7519623,0.8525394,0.7677796,0.9896109,0.7167575,0.7486278,0.6750551,0.6557903,0.703132,0.7035014,0.8032748,0.6979611,0.6718706,0.6490364,0.7476143,0.7039242,0.7470156
"G7",0.3903011,0.5528566,0.6919269,0.5994127,0.6394595,0.6278026,0.7941289,0.6275151,0.6714059,0.7263207,0.6996017,0.4369108,0.3190161,0.2515962,0.3316266,0.2915546,0.4054083,0.3112893,0.3233163,0.3579273,0.2591944,0.3258624,0.3797357,0.3318577,0.288313,0.3721221,0.3029258,0.4224045,0.3311256,0.3326612,0.3233936,0.2861542,0.2617139,0.3946725,0.3633543,0.2964967,0.3464998,0.2647255,0.3425543,0.4029617,0.4048745,0.2939547,0.3993288,0.450706,0.5485288,0.4191227,0.404818,0.4021574,0.3879869,0.3649183,0.3874153,0.3317178,0.4581148,0.1438364,0.2135935,0.2340862,0.2558514,0.2553226,0.3939014,0.3256386,0.2839382,0.4257877,0.329285,0.3466128,0.2975041,0.2241624,0.148895,0.1454351,0.0654906,0.060973,0.0948123,0.044192,0.056547,0.0786067,0.1255303,0.3110485,0.2423115,0.363212,0.3497454,0.2733472,0.3177007,0.3879303,0.2792495,0.3815922,0.281547,0.2399664,0.367818,0.414596,0.3950377,0.4022179,0.3683329,0.325786,0.2624573,0.3443267,0.3188395,0.3800848,0.2659151,0.3657415,0.3192404,0.2602806,0.3888028,0.2836286,0.3780398,0.3049996,0.3295154
"G8",0.7394766,0.6192178,0.6091063,0.7157248,0.6690893,0.7875952,0.6964367,0.7183012,0.730288,0.6464433,0.6573981,0.8816965,0.7466133,0.71567,0.6200168,0.6970678,0.6901789,0.6619251,0.7484189,0.696249,0.6851861,0.7356919,0.6984554,0.7992966,0.7545094,0.6824266,0.6889579,0.8368971,0.6359177,0.6746246,0.6412875,0.6886355,0.6900639,0.6820067,0.730575,0.6769372,0.5656413,0.7297857,0.6939279,0.7244836,0.7924089,0.6909824,0.6322062,0.1899539,0.1369477,0.0807017,0.0901048,0.0809343,0.0965888,0.0934378,0.0874391,0.0810491,0.0876817,0.6471502,0.6993472,0.7218518,0.6717318,0.8355873,0.6228192,0.5707512,0.744501,0.7697899,0.7274209,0.8576961,0.2149529,0.0810286,0.0265867,0.0375948,0.0282403,0.0269157,0.0370629,0.0672074,0.0338639,0.0236519,0.5957651,0.7248182,0.6702528,0.6434957,0.6684966,0.6809886,0.8437503,0.6730306,0.7202696,0.7384673,0.7561238,0.7445141,0.8206914,0.6578078,0.6089122,0.6208666,0.6269466,0.7703814,0.7117851,0.6687516,0.8229415,0.7274796,0.6628218,0.7072163,0.698686,0.9350571,0.68444,0.7730369,0.7009043,0.7489774,0.7117071
"G9",0.6905378,0.763381,0.6600078,0.6802115,0.6937546,0.7333815,0.6919134,0.5836529,0.4793615,0.5393516,0.6675667,0.5449214,0.5237627,0.6265107,0.636694,0.7477011,0.6350313,0.6741593,0.706056,0.7381237,0.6811684,0.5985757,0.689771,0.6167089,0.629235,0.6500131,0.616387,0.4706717,0.5144478,0.6062352,0.5077337,0.659161,0.4858964,0.685407,0.6117577,0.7023789,0.6190027,0.6630505,0.6281442,0.6980404,0.5536241,0.6046383,0.6069166,0.701488,0.5299586,0.7147256,0.5577913,0.5015089,0.3876723,0.5102852,0.3939002,0.4043584,0.4039936,0.5431759,0.6186351,0.5825071,0.8964608,0.5546085,0.7273523,0.6083497,0.6949433,0.6941771,0.6086672,0.7811452,0.5984654,0.6502929,0.7099093,0.6205225,0.7952763,0.6668893,0.7428034,0.6155896,0.6593598,0.7084438,0.5689632,0.6277049,0.6821383,0.8993064,0.6135085,0.6526455,0.6486631,0.6140042,0.549744,0.7184888,0.54359,0.6316647,0.6998272,0.7326197,0.5421569,0.5536478,0.5506373,0.7584403,0.4950272,0.3952342,0.37231,0.4154346,0.4994851,0.5859939,0.5996159,0.633942,0.5510709,0.6043066,0.6243863,0.6094389,0.545945
"G10",0.6753579,0.9124005,0.5544402,0.5867277,0.7299626,0.6722257,0.757457,0.657014,0.6548199,0.7034878,0.7192334,0.7208175,0.7811166,0.6992968,0.7257102,0.6598661,0.7670523,0.6314761,0.7710218,0.5656676,0.6806656,0.730415,0.7169565,0.8776432,0.7870751,0.602865,0.660924,0.7267452,0.7918199,0.836012,0.7328603,0.7358511,0.6722173,0.6079608,0.6509562,0.7031621,0.6591297,0.6886034,0.6326127,0.5462572,0.6773773,0.7255624,0.5902376,0.3709204,0.3454509,0.3935393,0.3359286,0.3789018,0.2672692,0.2920532,0.2820745,0.2517695,0.2683819,0.5306211,0.7342137,0.6437662,0.731575,0.709475,0.6334023,0.6459902,0.7639971,0.6702099,0.6736653,0.7189921,0.6966484,0.6162392,0.6915596,0.7600159,0.6605468,0.6340938,0.7049661,0.5863873,0.7121911,0.7353064,0.6338112,0.7695725,0.5650448,0.7504237,0.6918944,0.7174308,0.6815456,0.8026293,0.6928651,0.6645195,0.6782432,0.6514474,0.6408644,0.63147,0.7208959,0.6921294,0.7148951,0.8464993,0.7337229,0.7012124,0.6615105,0.7680971,0.7585956,0.7380463,0.6446329,0.7273649,0.8586479,0.8456395,0.7304428,0.6961066,0.5858316
