G1,G3,0.56
G1,G5,0.12
G1,G8,0.14
G1,G84,0.75
G10,G7,0.64
G10,G89,0.08
G10,G99,0.61
G100,G35,1
G100,G86,0.15
G11,G33,0.91
G12,G41,0.24
G12,G86,0.9
G13,G19,1
G13,G37,0.12
G14,G18,0.32
G14,G77,0.84
G14,G9,0.11
G14,G93,0.33
G14,G99,0.91
G15,G48,0.45
G15,G92,0.5
G16,G17,0.43
G16,G21,0.12
G16,G5,0.1
G16,G84,0.24
G17,G16,0.43
G17,G19,0.85
G18,G14,0.32
G18,G44,0.33
G18,G73,0.3
G19,G13,1
G19,G17,0.85
G19,G98,0.16
G2,G4,0.22
G2,G8,0.78
G2,G9,0.33
G20,G46,0.95
G21,G16,0.12
G21,G27,0.19
G21,G4,0.98
G22,G39,0.29
G22,G40,0.08
G22,G48,0.84
G23,G38,0.22
G23,G41,0.26
G23,G58,0.37
G24,G72,1
G24,G91,0.2
G25,G41,1
G26,G55,0.14
G26,G57,0.55
G26,G61,0.4
G26,G75,0.09
G27,G21,0.19
G27,G40,0.16
G27,G65,0.08
G27,G95,0.13
G27,G96,0.25
G28,G33,1
G28,G74,0.15
G29,G69,0.18
G29,G84,1
G3,G1,0.56
G3,G54,0.74
G3,G83,0.31
G3,G84,0.1
G30,G42,0.09
G30,G48,0.22
G30,G90,0.19
G30,G94,0.27
G31,G64,1
G31,G69,0.27
G31,G80,0.27
G32,G4,0.2
G32,G58,0.66
G32,G85,0.09
G33,G11,0.91
G33,G28,1
G34,G60,0.16
G34,G81,0.3
G34,G82,0.19
G34,G83,0.08
G34,G98,0.77
G35,G100,1
G35,G37,0.86
G35,G89,0.27
G36,G47,0.84
G36,G56,0.27
G36,G68,0.79
G36,G76,0.17
G37,G13,0.12
G37,G35,0.86
G38,G23,0.22
G38,G48,1
G38,G60,0.76
G38,G79,0.1
G39,G22,0.29
G39,G40,0.09
G39,G68,0.17
G39,G82,0.39
G4,G2,0.22
G4,G21,0.98
G4,G32,0.2
G4,G5,0.09
G4,G8,0.98
G4,G84,1
G40,G22,0.08
G40,G27,0.16
G40,G39,0.09
G40,G55,0.84
G40,G56,0.18
G41,G12,0.24
G41,G23,0.26
G41,G25,1
G41,G50,0.48
G42,G30,0.09
G42,G48,0.97
G43,G46,0.14
G43,G90,0.84
G43,G91,0.13
G44,G18,0.33
G44,G73,0.99
G44,G74,0.25
G44,G93,0.24
G45,G90,1
G46,G20,0.95
G46,G43,0.14
G46,G63,0.98
G46,G78,0.38
G47,G36,0.84
G47,G56,0.12
G47,G68,0.14
G48,G15,0.45
G48,G22,0.84
G48,G30,0.22
G48,G38,1
G48,G42,0.97
G48,G6,0.98
G48,G60,0.08
G48,G79,0.64
G49,G50,0.84
G49,G94,0.53
G5,G1,0.12
G5,G16,0.1
G5,G4,0.09
G5,G8,0.71
G5,G89,0.1
G50,G41,0.48
G50,G49,0.84
G51,G53,0.99
G51,G56,0.55
G51,G76,0.25
G52,G57,1
G52,G75,0.16
G53,G51,0.99
G53,G55,0.87
G53,G56,0.19
G54,G3,0.74
G54,G94,0.27
G55,G26,0.14
G55,G40,0.84
G55,G53,0.87
G55,G59,0.96
G56,G36,0.27
G56,G40,0.18
G56,G47,0.12
G56,G51,0.55
G56,G53,0.19
G56,G76,0.48
G57,G26,0.55
G57,G52,1
G57,G67,0.75
G57,G74,0.1
G58,G23,0.37
G58,G32,0.66
G58,G72,0.47
G58,G83,0.13
G59,G55,0.96
G6,G48,0.98
G60,G34,0.16
G60,G38,0.76
G60,G48,0.08
G60,G81,0.51
G60,G90,0.08
G61,G26,0.4
G61,G75,0.82
G62,G66,0.84
G62,G86,0.25
G63,G46,0.98
G63,G78,0.62
G63,G94,0.15
G64,G31,1
G64,G69,0.29
G64,G9,0.1
G65,G27,0.08
G65,G96,0.95
G66,G62,0.84
G66,G86,0.23
G67,G57,0.75
G67,G88,0.34
G68,G36,0.79
G68,G39,0.17
G68,G47,0.14
G69,G29,0.18
G69,G31,0.27
G69,G64,0.29
G69,G90,0.14
G7,G10,0.64
G7,G74,0.13
G7,G75,0.1
G7,G88,0.12
G7,G95,0.1
G70,G75,0.28
G70,G85,0.77
G70,G87,0.2
G71,G80,0.89
G71,G83,0.16
G72,G24,1
G72,G58,0.47
G72,G77,0.14
G72,G9,0.1
G73,G18,0.3
G73,G44,0.99
G73,G74,0.08
G74,G28,0.15
G74,G44,0.25
G74,G57,0.1
G74,G7,0.13
G74,G73,0.08
G74,G95,0.25
G75,G26,0.09
G75,G52,0.16
G75,G61,0.82
G75,G7,0.1
G75,G70,0.28
G75,G92,0.3
G76,G36,0.17
G76,G51,0.25
G76,G56,0.48
G77,G14,0.84
G77,G72,0.14
G78,G46,0.38
G78,G63,0.62
G78,G94,0.09
G79,G38,0.1
G79,G48,0.64
G79,G99,0.11
G8,G1,0.14
G8,G2,0.78
G8,G4,0.98
G8,G5,0.71
G8,G83,0.97
G80,G31,0.27
G80,G71,0.89
G81,G34,0.3
G81,G60,0.51
G81,G86,0.2
G82,G34,0.19
G82,G39,0.39
G82,G95,1
G83,G3,0.31
G83,G34,0.08
G83,G58,0.13
G83,G71,0.16
G83,G8,0.97
G83,G9,0.09
G84,G1,0.75
G84,G16,0.24
G84,G29,1
G84,G3,0.1
G84,G4,1
G85,G32,0.09
G85,G70,0.77
G85,G94,0.25
G86,G100,0.15
G86,G12,0.9
G86,G62,0.25
